【MEIKO - 旧制服】

角色: MEIKO
分类: 旧制服
数量: 23

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
101 | 2020-09-29 | 赤く駆ける旋律 | 1 | cool | 手拍子も大歓迎！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no001/card_after_training.png
102 | 2020-09-29 | ストリートのセカイ | 2 | pure | マスター冥利につきるわ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no002/card_after_training.png
103 | 2020-09-29 | こだわりの一杯 | 3 | mysterious | はい。召し上がれ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no003/card_after_training.png
138 | 2020-11-30 | 温かい眼差し | 2 | happy | みんなで開店準備！ | いつか、背中あわせのリリックを | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no005/card_after_training.png
146 | 2020-12-20 | 教えて！みんなのクリスマス♪ | 4 | cute | ワンダフルアイディア！ | 聖なる夜に、この歌声を | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no006/card_after_training.png
156 | 2021-01-10 | ３人目の先輩！ | 4 | happy | キラキラなメロディー | 揺れるまま、でも君は前へ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no007/card_after_training.png
203 | 2021-04-11 | 必要な距離 | 4 | cute | 経過観察中 | シークレット・ディスタンス | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no008/card_after_training.png
211 | 2021-04-21 | 答えを探して | 2 | pure | 先輩のひとりとして | Resonate with you | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no009/card_after_training.png
225 | 2021-05-21 | 赤が似合うニューフェイス！ | 3 | pure | ケチャップアートでおもてなし♪ | 頑張るあなたにBreak Time！ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no010/card_after_training.png
251 | 2021-07-09 | トーキング・コーヒー・タイム | 4 | cute | 優しい眼差し | Awakening Beat | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no011/card_after_training.png
276 | 2021-08-31 | 企画会議のヒントはうさぎ！？ | 4 | cute | 新生めーちゃんのお月見ライブ！ | ふたり、月うさぎ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no012/card_after_training.png
310 | 2021-10-31 | 正しさの天秤 | 3 | cool | 赤い道しるべ | ボクのあしあと キミのゆくさき | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no013/card_after_training.png
358 | 2022-01-12 | 泣き声はどこから？ | 4 | cool | たくさんの夢を | POP IN MY HEART!! | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no016/card_after_training.png
408 | 2022-03-30 | 春メニューの試食 | 3 | cute | 春色crase cafe | セカイの桜、つながる想い | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no017/card_after_training.png
453 | 2022-06-20 | 挑戦の心得！ | 3 | happy | 備えあればうれいなし♪ | 絶体絶命！？アイランドパニック！ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no019/card_after_training.png
483 | 2022-08-10 | まずは腹筋の強化から！ | 4 | cool | 特訓の先で得るもの | 青空の先、輝きを追いかけて | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no020/card_after_training.png
593 | 2023-02-10 | もっともっと支えるために | 2 | cute | これからのあの子達のために | ほどかれた糸のその先に | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no023/card_after_training.png
610 | 2023-03-11 | 優しさこそが力の源 | 2 | mysterious | マラソンinワンダーランド | 天の果てのフェニックスへ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no024/card_after_training.png
626 | 2023-04-11 | 頼もしい温もり | 4 | pure | 見守るビートは強く、優しく | Get over it. | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no025/card_after_training.png
702 | 2023-08-21 | 幸福の語り手 | 4 | happy | きらきらな夢を見守って | あたしたちのハッピーエンド | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no026/card_after_training.png
