【鳳えむ - 新制服】

角色: 鳳えむ
分类: 新制服
数量: 14

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
794 | 2023-11-22 | これであたしもモダンガール♪ | 3 | cool | 鳳家の団欒 | 君が主役の物語を | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no031/card_after_training.png
858 | 2024-01-23 | みんなで映画鑑賞会☆ | 2 | cute | 現場での学びを糧に | 逆光のレンズフレア | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no033/card_after_training.png
927 | 2024-05-23 | 天下を笑う者 | 4 | cute | 生まれる時代が違えば…… | perspective for smile | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no036/card_after_training.png
959 | 2024-07-09 | 泥棒さんにご注意を！ | 3 | cool | 思い出いっぱいの打ち上げ！ | お縄を頂戴！？天馬捕物帳 | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no037/card_after_training.png
1035 | 2024-11-20 | 夢の中でもお勉強？ | 4 | pure | キラキラシャキーンを胸に | The Power Of Regret | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no040/card_after_training.png
1054 | 2024-12-21 | わくわく♪お菓子の町づくり！ | 2 | happy | 優しいショーのプレゼント | Special present for YOU！ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no041/card_after_training.png
1156 | 2025-04-22 | 凛と、未来を語って | 4 | mysterious | 楽しい勉強の時間 | Choices for the future | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no044/card_after_training.png
1200 | 2025-07-07 | 気になる劇団 | 2 | pure | 未来に思いを馳せて | Deeper and deeper | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no046/card_after_training.png
1258 | 2025-09-30 | にこにこスタンプラリー | 3 | cute | メラメラぱちぱちプシュー | Our Golden Days | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no049/card_after_training.png
1280 | 2025-11-10 | ハピハピハッピーなおもてなし | 4 | cute | ムキムキメンタリティ | 超克のプロタゴニスタ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no050/card_after_training.png
1298 | 2025-12-10 | 甘くて楽しいお友達！ | 3 | happy | 校外学習にしゅっぱーつ☆ | ともに、トゥルールートを目指して | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no051/card_after_training.png
1339 | 2026-02-19 | びっくりなそっくりさん！？ | 4 | mysterious | わくわく作戦会議☆ | CHANGE！えむは王女さま！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no053/card_after_training.png
1367 | 2026-03-30 | はりきり応援団長 | 2 | mysterious | CMにワクワクを込めて | 残照のInside Direction | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no054/card_after_training.png
1411 | 2026-06-20 | 胸の奥でいつも | 4 | pure | 懐かしいお客さん | Phantom maze monster | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no056/card_after_training.png
