【鳳えむ - 旧制服】

角色: 鳳えむ
分类: 旧制服
数量: 22

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
53 | 2020-09-29 | ハイパー★ポジティブ | 1 | pure | ゆびきりげんまん！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no001/card_after_training.png
54 | 2020-09-29 | ワンダーランズ×ショウタイム | 2 | mysterious | フワフワがばばーんっ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no002/card_after_training.png
55 | 2020-09-29 | レッツ作戦会議！ | 3 | cute | 大歓迎バスター！！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no003/card_after_training.png
122 | 2020-10-31 | パンダさんに乗って | 3 | mysterious | ハロウィンわんだほい！ | 全力！ワンダーハロウィン！ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no006/card_after_training.png
124 | 2020-11-09 | 激走！アンカー☆ | 4 | pure | はじける応援 | 走れ！体育祭！～実行委員は大忙し～ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no007/card_after_training.png
148 | 2020-12-20 | キラットナカチューシャ☆ | 2 | cute | みんなと初めてのクリスマス | 聖なる夜に、この歌声を | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no008/card_after_training.png
233 | 2021-06-11 | 想いはひとつ | 4 | cool | 始まりは着ぐるみさんと | ワンダーマジカルショウタイム！ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no010/card_after_training.png
261 | 2021-07-31 | バーベキュー奉行！？ | 4 | pure | 思い出のおすそわけ | きっと最高のsummer！ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no011/card_after_training.png
273 | 2021-08-20 | 守りたい笑顔 | 2 | happy | 家族の海の思い出 | マーメイドにあこがれて | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no012/card_after_training.png
302 | 2021-10-21 | ジャジャジャジャーンプ！ | 4 | happy | 秘密の特訓♪ | Revival my dream | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no013/card_after_training.png
356 | 2022-01-12 | えむ隊員は調査中！ | 4 | cool | どっちもがんばるノート | POP IN MY HEART!! | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no014/card_after_training.png
413 | 2022-04-11 | ニッコリ作戦大成功！ | 3 | mysterious | 楽しいほうれんそう | まばゆい光のステージで | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no016/card_after_training.png
452 | 2022-06-20 | 嵐の前のフィッシング | 4 | happy | クルーザーで何する？ | 絶体絶命！？アイランドパニック！ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no017/card_after_training.png
501 | 2022-09-09 | たこさんと同じ顔っ☆ | 4 | mysterious | にこにこ絵描き歌 | 好きを描いて♪レインボーキャンバス | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no020/card_after_training.png
526 | 2022-10-21 | レッツ・エチュード♪ | 2 | pure | 最後を迎えて | カーテンコールに惜別を | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no021/card_after_training.png
571 | 2023-01-10 | 瞳に映る輝き | 4 | mysterious | ハッピーエンドを迎えるために | 夢の途中、輝く星たちへ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no022/card_after_training.png
607 | 2023-03-11 | ぐわぐわ☆アヒルチャレンジ！ | 4 | cute | 役作りの猛特訓！ | 天の果てのフェニックスへ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no023/card_after_training.png
651 | 2023-05-20 | 夢のあとで | 3 | pure | とっておきの武器 | カナリアは窮境に歌う | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no024/card_after_training.png
693 | 2023-07-31 | お姉ちゃんと一緒っ☆ | 2 | cool | 明日の“楽しい”のために | ドタバタ cafe ●REC!! | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no026/card_after_training.png
700 | 2023-08-21 | 笑顔の世界へ | 4 | happy | いってらっしゃいといってきます | あたしたちのハッピーエンド | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no027/card_after_training.png
