【小豆沢こはね - 旧制服】

角色: 小豆沢こはね
分类: 旧制服
数量: 21

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
33 | 2020-09-29 | 内気な小動物 | 1 | pure | フェニランマニアの実力 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no001/card_after_training.png
34 | 2020-09-29 | Vivid BAD SQUAD | 2 | mysterious | シャッターチャンスは逃さない |  | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no002/card_after_training.png
35 | 2020-09-29 | セカイで一息 | 3 | cool | ふー。ふー。 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no003/card_after_training.png
135 | 2020-11-30 | もう一度ふたりで | 4 | cool | 背中を預けて！ | いつか、背中あわせのリリックを | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no005/card_after_training.png
168 | 2021-01-31 | 憂いの夜 | 3 | pure | 晴れやかな空の下で | Period of NOCTURNE | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no006/card_after_training.png
199 | 2021-04-01 | みんなの背中を追いかけて | 4 | pure | 最強の新人？ | 君と歌う、桜舞う世界で | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no007/card_after_training.png
215 | 2021-04-30 | 一緒に成長したくて | 3 | mysterious | 学業も忘れずに | STRAY BAD DOG | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no008/card_after_training.png
249 | 2021-07-09 | 内なる力の目覚め | 4 | cute | 肩を並べ踏み出す一歩 | Awakening Beat | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no009/card_after_training.png
263 | 2021-07-31 | 想いをこめたシーグラス | 2 | cool | 新しい歌声 | きっと最高のsummer！ | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no010/card_after_training.png
319 | 2021-11-20 | ふたりだけの秘密 | 4 | happy | シャッターチャンス！ | バディ・ファニー・スペンドタイム♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no012/card_after_training.png
345 | 2021-12-20 | あったかキャンプスタイル | 2 | cute | トランプで対決！ | Same Dreams,Same Colors | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no013/card_after_training.png
373 | 2022-02-09 | そして知る『伝説』 | 4 | mysterious | 歌で景色を | Legend still vivid | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no015/card_after_training.png
435 | 2022-05-20 | 褒められちゃった♪ | 4 | cute | 街と景色と空気と | THE POWER OF UNITY | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no017/card_after_training.png
444 | 2022-05-31 | プリティブライズメイド | 2 | happy | 撮影の合間に | 青空に願うユア・ハピネス！ | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no018/card_after_training.png
466 | 2022-07-11 | レモネードで一休み♪ | 3 | happy | みんなで街巡り！ | The Vivid Old Tale | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no019/card_after_training.png
505 | 2022-09-20 | ミッドナイトメイキング | 4 | cool | 感じたドキドキを集めて | Walk on and on | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no020/card_after_training.png
554 | 2022-12-11 | クリスマスまで秒読み！ | 3 | cute | 帰り道の語らい | Find A Way Out | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no022/card_after_training.png
595 | 2023-02-19 | 最高潮のあと | 4 | happy | 大切な瞬間も、何気ない瞬間も | Kick it up a notch | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no023/card_after_training.png
663 | 2023-06-10 | 最後の練習 | 2 | pure | いつもとは違う朝 | Light Up the Fire | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no025/card_after_training.png
694 | 2023-08-10 | 私の言葉で | 4 | pure | シンガーの会話 | On Your Feet | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no027/card_after_training.png
732 | 2023-09-29 | Brand New Style | 2 | happy | どきどきの顔合わせ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no028/card_after_training.png
