【朝比奈まふゆ - 2星】

角色: 朝比奈まふゆ
分类: 2星
数量: 10

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
70 | 2020-09-29 | 25時、ナイトコードで。 | 2 | happy | 現実かは気にしちゃダメ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no002/card_after_training.png
206 | 2021-04-11 | 廃校での出会い | 2 | pure | 少女からのお礼 | シークレット・ディスタンス | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no009/card_after_training.png
278 | 2021-08-31 | 見上げる月は同じ | 2 | cute | ささやかなお月見の夜 | ふたり、月うさぎ | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no011/card_after_training.png
311 | 2021-10-31 | 導きの杖 | 2 | cool | 前に進むこと | ボクのあしあと キミのゆくさき | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no013/card_after_training.png
616 | 2023-03-21 | 止められない想い | 2 | mysterious | 脳裏をよぎる場所は…… | イミシブル・ディスコード | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no024/card_after_training.png
741 | 2023-09-29 | Brand New Style | 2 | cool | つかの間のお昼 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no028/card_after_training.png
1043 | 2024-11-30 | 待ち人は遠く | 2 | pure | 生存逃走の末に | 傷だらけの手で、私達は | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no040/card_after_training.png
1227 | 2025-08-22 | お返し探し | 2 | mysterious | 『正解』よりも、心で | ほどけぬ明日に手を伸ばして | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no047/card_after_training.png
1276 | 2025-10-31 | 徹夜を案じて | 2 | cool | 当たり前じゃなくなったら？ | Colors of Pure Sense | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no048/card_after_training.png
1319 | 2026-01-11 | 見守るしかできないけれど | 2 | happy | ひと手間かける理由 | 覚めない幻想をノックして | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no050/card_after_training.png
