【花里みのり - 新制服】

角色: 花里みのり
分类: 新制服
数量: 15

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
783 | 2023-10-31 | 先輩達の背中 | 2 | cute | みんなで作ったモアモアカレー！ | その手導くぬくもりは | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no028/card_after_training.png
828 | 2023-12-10 | スカッとササッと | 4 | cool | １日飼育員のお仕事 | あっちこっち飼育員体験！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no030/card_after_training.png
873 | 2024-02-20 | 胸に刺さる本音 | 4 | pure | お別れじゃないよ！？ | 刻まれた傷は、やがて | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no032/card_after_training.png
881 | 2024-02-29 | こんなのもあったよ！ | 3 | cool | ホワイトデーのためのエール！ | リラックスティータイム | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no033/card_after_training.png
901 | 2024-03-30 | 遊び疲れて | 3 | happy | 飼い犬は飼い主に似る？ | Rise as ONE！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no034/card_after_training.png
972 | 2024-07-31 | もっと輝きたいから | 2 | pure | だめだめDay | Chase my IDEAL IDOL！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no038/card_after_training.png
1046 | 2024-12-11 | 言葉にならない感動 | 4 | happy | 盛り上がる同志達 | Grow glorious glow | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no039/card_after_training.png
1111 | 2025-02-10 | 真剣会議！ | 4 | mysterious | ひとりひとりできることを | Rise and Strive | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no041/card_after_training.png
1137 | 2025-03-10 | お友達になれるかな？ | 2 | mysterious | 友情のゆくえ | You are my HERO!! | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no042/card_after_training.png
1175 | 2025-05-23 | 一緒に振り返りタイム | 4 | happy | 積み上げた努力 | Cheer with my Heart! | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no044/card_after_training.png
1207 | 2025-07-23 | 素直な想いを紡いで | 4 | pure | みんなで持ち物チェック | start rolling! stars' crossing | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no045/card_after_training.png
1269 | 2025-10-21 | 全力トレーニング！ | 3 | cute | 本番直前インタビュー！ | 交わる色はあの日のままに | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no048/card_after_training.png
1304 | 2025-12-21 | また会える日を想って | 2 | happy | 笑顔をくれるファンレター | この物語は希望をのせて | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no049/card_after_training.png
1351 | 2026-03-10 | うっかりは口から | 4 | pure | スペシャルお散歩プラン | Open up new horizons！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no051/card_after_training.png
1441 | 2026-08-09 | しばしのお別れ | 4 | cute | 不思議なボールのうわさ | Leap Beyond The Limits！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no055/card_after_training.png
