【初音ミク - 3星】

角色: 初音ミク
分类: 3星
数量: 10

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
87 | 2020-09-29 | 見守るまなざし | 3 | pure | 会いに行かなくちゃ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no007/card_after_training.png
262 | 2021-07-31 | おっきな貝殻、どこかな？ | 3 | mysterious | サンゴ礁でこんにちは♪ | きっと最高のsummer！ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no014/card_after_training.png
277 | 2021-08-31 | 屋上での語らい | 3 | happy | 見てきたキミの姿 | ふたり、月うさぎ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no015/card_after_training.png
353 | 2021-12-31 | かるた界のトップアイドル？ | 3 | pure | 師匠、始めました！ | 祈りの先 願う明日は | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no020/card_after_training.png
425 | 2022-04-30 | こちょこちょはどうかな？ | 3 | cute | 原点回帰のライブを | つなぐPainful Hope | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no025/card_after_training.png
525 | 2022-10-21 | しょぼぼぼ～ん | 3 | cool | みんなでショーができるように | カーテンコールに惜別を | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no029/card_after_training.png
579 | 2023-01-21 | 先輩の視線 | 3 | cool | だって最高だから！ | Little Bravers！ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no031/card_after_training.png
603 | 2023-02-28 | 料理は得意？ | 3 | happy | ハラハラクッキング！？ | Never Give Up Cooking！ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no032/card_after_training.png
1232 | 2025-08-30 | ぴょぴょんとこんばんは！ | 3 | cute | ぴょんぴょんぴょーん！ | Deep Dark For Light | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no056/card_after_training.png
1275 | 2025-10-31 | お礼のアイス | 3 | mysterious | 冷たいけど冷たくない | Colors of Pure Sense | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no061/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no061/card_after_training.png
