【鏡音リン - 新制服】

角色: 鏡音リン
分类: 新制服
数量: 14

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
775 | 2023-10-22 | 思い出を聞かせて | 4 | pure | リンお姉ちゃんだよ～♪ | Stick to your faith | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no030/card_after_training.png
837 | 2023-12-20 | セカイを描いて、彩って | 2 | mysterious | 最後まで描けたね | あの日、奏でた音色を | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no032/card_after_training.png
856 | 2024-01-23 | スクリーンに照らされて | 4 | happy | 応援の気持ちを伝えに！ | 逆光のレンズフレア | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no034/card_after_training.png
925 | 2024-05-09 | 謎の道、発見！？ | 2 | cute | 花畑の間違い探し？ | いつか花咲くステージへ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no035/card_after_training.png
945 | 2024-06-20 | 初めての轟音 | 4 | pure | 口は災いの元 | 灯を手繰りよせて | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no036/card_after_training.png
971 | 2024-07-31 | 届けたい気持ちをのせて！ | 3 | cute | やっぱりアイドルっていいな！ | Chase my IDEAL IDOL！ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no037/card_after_training.png
1030 | 2024-11-10 | 夢も膨らむ山盛りブドウ | 4 | mysterious | セカイでブドウ狩り体験！？ | また、木の葉の色づく頃に | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no040/card_after_training.png
1099 | 2025-01-21 | おめかしは難しい | 4 | cool | どこか知っている色 | Show your shine | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no043/card_after_training.png
1142 | 2025-03-20 | 届かない声 | 3 | happy | 労りのセカイ | Unreliable Notes | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no045/card_after_training.png
1150 | 2025-03-30 | 緊張をほぐすおまじない | 2 | mysterious | 盛り上がってるか～！ | Find the dream view | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no046/card_after_training.png
1203 | 2025-07-15 | お楽しみ委員の本領発揮♪ | 4 | cute | お祝いパーティー企画中！ | Unsteady, still steady step | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no047/card_after_training.png
1281 | 2025-11-10 | 小さな守護者 | 4 | cute | のびのびストレッチ | 超克のプロタゴニスタ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no049/card_after_training.png
1341 | 2026-02-19 | リンがついてるよ！ | 4 | mysterious | みんなで遊園地めぐり | CHANGE！えむは王女さま！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no052/card_after_training.png
1456 | 2026-08-29 | 風船で飾り付け♪ | 2 | cute | パーティーへの感謝を！ | Mix&Make Party Time!! | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no055/card_after_training.png
