【巡音ルカ - 特典】

角色: 巡音ルカ
分类: 特典
数量: 11

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
406 | 2022-03-30 | 黒板に咲くサクラ | 4 | happy | 教室のユメミグサ | セカイの桜、つながる想い | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no017/card_after_training.png
510 | 2022-09-30 | 語る、『あなた』の想いへ | 4 | pure | いつか、この想いが生まれる日を |  | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no022/card_after_training.png
638 | 2023-04-30 | 考えかたを変えて | 4 | cool | 心を揺らす囁き | ボク達の生存逃走 | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no026/card_after_training.png
710 | 2023-08-31 | 輝きを見せるために | 4 | cute | 想いは同じだから | セカイに響け！Your Song | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no028/card_after_training.png
935 | 2024-05-31 | ふわふわドリームウェディング | 4 | mysterious | ベストな人選は？ | みんなで配信♡WEDDING LIVE！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no037/card_after_training.png
982 | 2024-08-17 | 想いに寄り添って | 4 | cute | 『ルカ』達の可愛い一幕？ | キミと、セカイの始まりで | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no040/card_after_training.png
1145 | 2025-03-30 | 巡るセカイ、触れる想い | 4 | happy | 多種多様な『私』達 | Find the dream view | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no046/card_after_training.png
1215 | 2025-07-31 | ふたりのナイショ話 | 4 | happy | メラメラの景色 | Competitive fire！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no048/card_after_training.png
1238 | 2025-09-06 | 大興奮のステージ！ | 4 | cool | アイドルがもたらしたもの | Link the Beats！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no049/card_after_training.png
1404 | 2026-06-08 | 託した願い | 4 | happy | 見守る視線 | Into the New Light | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no055/card_after_training.png
1452 | 2026-08-29 | 仲良くイエーイ！ | 4 | pure | 感謝を寄せて | Mix&Make Party Time!! | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no056/card_after_training.png
