【鏡音レン - 特典】

角色: 鏡音レン
分类: 特典
数量: 11

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
405 | 2022-03-30 | 春色スイーツに囲まれて | 4 | happy | 探せ、ベストスポット！ | セカイの桜、つながる想い | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no017/card_after_training.png
618 | 2023-03-30 | キミのためのエール | 4 | cute | 勇気のプレゼント |  | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no025/card_after_training.png
709 | 2023-08-31 | 想いをこめた演奏で | 4 | cute | プロとして進むみんなのために | セカイに響け！Your Song | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no028/card_after_training.png
798 | 2023-11-30 | 憧れの主人公 | 4 | pure | ヒーローを演じたい！ | 最高のクランクアップ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no032/card_after_training.png
981 | 2024-08-17 | どこでも最高の相棒 | 4 | happy | なんでもないセカイの１日 | キミと、セカイの始まりで | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no039/card_after_training.png
1106 | 2025-01-31 | とびきりのハートをキミに | 4 | happy | 王子様から感謝を込めて | このひと針に想いを込めて | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no045/card_after_training.png
1164 | 2025-04-30 | 苦しさに寄り添って | 4 | mysterious | セカイで見守る者達 | そして、針は動き出す | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no047/card_after_training.png
1237 | 2025-09-06 | 両手いっぱいのお菓子 | 4 | mysterious | 『不思議』の前触れ？ | Link the Beats！ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no049/card_after_training.png
1382 | 2026-04-30 | 意外な先客 | 4 | mysterious | 腕が鳴る挑戦 | あたたかな思い出を辿って | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no054/card_after_training.png
1393 | 2026-05-17 | きらめきは重なって | 4 | cool | それぞれのセカイの物語 | Great Yell for Dreamers！ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no055/card_after_training.png
1453 | 2026-08-29 | 花咲くレン談義 | 4 | pure | 頼もしい主催者 | Mix&Make Party Time!! | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no058/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no058/card_after_training.png
