【青柳冬弥 - 2星】

角色: 青柳冬弥
分类: 2星
数量: 11

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
46 | 2020-09-29 | Vivid BAD SQUAD | 2 | happy | お前がうらやましい |  | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no002/card_after_training.png
143 | 2020-12-10 | 意外な才能？ | 2 | cool | クマさんが一番得意 | KAMIKOU FESTIVAL！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no006/card_after_training.png
216 | 2021-04-30 | 相棒として | 2 | cute | BAD DOGSの由来 | STRAY BAD DOG | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no009/card_after_training.png
467 | 2022-07-11 | 感じた想いの行方 | 2 | pure | この街の思い出 | The Vivid Old Tale | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no018/card_after_training.png
735 | 2023-09-29 | Brand New Style | 2 | mysterious | 新しく生まれるもの |  | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no027/card_after_training.png
800 | 2023-11-30 | いざ衣装班へ！ | 2 | cool | 裁縫にチャレンジ！ | 最高のクランクアップ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no029/card_after_training.png
955 | 2024-06-30 | もう少しだけ、この空気を | 2 | happy | 作曲の意見交換 | OVER RAD SQUAD!! | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no036/card_after_training.png
1020 | 2024-10-21 | 見えずともそこにあるもの | 2 | cute | 参考書の山を前に | Rekindle the flame | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no039/card_after_training.png
1288 | 2025-11-20 | 相棒に託されたもの | 2 | pure | 夢のためにできること | Overcome one's limits | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no048/card_after_training.png
1331 | 2026-01-31 | 至高の香りを漂わせて | 2 | happy | 冒険の経験値 | 粉砕せよ！アンヴァレンタインの復讐 | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no051/card_after_training.png
1372 | 2026-04-09 | やりとげる意志 | 2 | cool | できることをひとつひとつ | Show 'em what's up！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no052/card_after_training.png
