【青柳冬弥 - 新制服】

角色: 青柳冬弥
分类: 新制服
数量: 14

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
771 | 2023-10-12 | つかの間の休息 | 3 | cool | つけられた火の行く先 | BURN MY SOUL | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no028/card_after_training.png
800 | 2023-11-30 | いざ衣装班へ！ | 2 | cool | 裁縫にチャレンジ！ | 最高のクランクアップ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no029/card_after_training.png
864 | 2024-01-31 | モデルへの挑戦！ | 3 | cute | 友チョコと義理チョコ | Take the Best Shot！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no032/card_after_training.png
890 | 2024-03-22 | 枷は、鍵に | 4 | happy | 違う道を歩いていても | The first concerto | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no033/card_after_training.png
955 | 2024-06-30 | もう少しだけ、この空気を | 2 | happy | 作曲の意見交換 | OVER RAD SQUAD!! | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no036/card_after_training.png
973 | 2024-08-09 | 憧れを共に | 4 | mysterious | 想定外の笑顔 | 鳴らせビューティフルサウンド！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no037/card_after_training.png
1020 | 2024-10-21 | 見えずともそこにあるもの | 2 | cute | 参考書の山を前に | Rekindle the flame | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no039/card_after_training.png
1062 | 2024-12-31 | 新たなる挑戦 | 3 | pure | 心、研ぎ澄ませて | Unfading wishing | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no040/card_after_training.png
1065 | 2025-01-11 | 異国の街角で | 4 | happy | 思いがけない家族の話 | Time to take off！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no041/card_after_training.png
1288 | 2025-11-20 | 相棒に託されたもの | 2 | pure | 夢のためにできること | Overcome one's limits | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no048/card_after_training.png
1320 | 2026-01-21 | 燃え上がる闘志 | 4 | pure | 香ばしいリラックスタイム | GO ALL OUT | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no050/card_after_training.png
1331 | 2026-01-31 | 至高の香りを漂わせて | 2 | happy | 冒険の経験値 | 粉砕せよ！アンヴァレンタインの復讐 | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no051/card_after_training.png
1372 | 2026-04-09 | やりとげる意志 | 2 | cool | できることをひとつひとつ | Show 'em what's up！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no052/card_after_training.png
1388 | 2026-05-08 | 丁寧な一杯 | 4 | pure | 心を尽くしたメッセージ | Stay solid, No fold | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no053/card_after_training.png
