【宵崎奏 - 4星】

角色: 宵崎奏
分类: 4星
数量: 28

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
115 | 2020-10-20 | 生きているように | 4 | cool | あがいて、いつか…… | 囚われのマリオネット | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no005/card_after_training.png
177 | 2021-02-18 | 想いをメロディーに…… | 4 | happy | いらなくなんてない | 満たされないペイルカラー | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no006/card_after_training.png
195 | 2021-03-30 | いつか見た夢を | 4 | mysterious | 闇を照らす光 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no007/card_after_training.png
237 | 2021-06-21 | 思い出の花壇 | 4 | mysterious | フラワーセラピー | カーネーション・リコレクション | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no010/card_after_training.png
309 | 2021-10-31 | 吊られた少女の見たものは | 4 | cute | 天才の耳 | ボクのあしあと キミのゆくさき | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no013/card_after_training.png
361 | 2022-01-21 | 微かに光るエルピス | 4 | pure | これからも、４人で | いつか、絶望の底から | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no015/card_after_training.png
398 | 2022-03-20 | 音が腑に落ちる瞬間 | 4 | cool | いつでも頼って | 空白のキャンバスに描く私は | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no017/card_after_training.png
458 | 2022-06-30 | この一球で……！ | 4 | happy | あっという間に流れる会話 | みんなでエンジョイ！スポジョイパーク | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no019/card_after_training.png
487 | 2022-08-20 | 朝日に目を細めて | 4 | cute | 初めてのカフェ作業 | そしていま、リボンを結んで | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no020/card_after_training.png
541 | 2022-11-20 | この街一番の専門店で | 4 | mysterious | 昔と今の違いは…… | 願いは、いつか朝をこえて | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no022/card_after_training.png
