【宵崎奏 - 旧制服】

角色: 宵崎奏
分类: 旧制服
数量: 21

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
65 | 2020-09-29 | 音楽に愛された少女 | 1 | mysterious | 食べずに生きられればいいのに |  | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no001/card_after_training.png
66 | 2020-09-29 | 25時、ナイトコードで。 | 2 | cute | 運命共同体 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no002/card_after_training.png
67 | 2020-09-29 | 画面の向こうに… | 3 | happy | ご飯よりも曲づくり |  | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no003/card_after_training.png
115 | 2020-10-20 | 生きているように | 4 | cool | あがいて、いつか…… | 囚われのマリオネット | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no005/card_after_training.png
177 | 2021-02-18 | 想いをメロディーに…… | 4 | happy | いらなくなんてない | 満たされないペイルカラー | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no006/card_after_training.png
201 | 2021-04-01 | この春を、あなたと…… | 2 | cool | 心に残った歌声 | 君と歌う、桜舞う世界で | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no008/card_after_training.png
205 | 2021-04-11 | 儚さと美しさ | 3 | pure | 部屋に響く異音 | シークレット・ディスタンス | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no009/card_after_training.png
237 | 2021-06-21 | 思い出の花壇 | 4 | mysterious | フラワーセラピー | カーネーション・リコレクション | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no010/card_after_training.png
288 | 2021-09-21 | 不器用なティータイム | 2 | pure | まふゆからのお礼 | 灯のミラージュ | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no011/card_after_training.png
294 | 2021-10-01 | 音楽が見せてくれる世界 | 3 | mysterious | まぶしい歌声 | スクランブル・ファンフェスタ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no012/card_after_training.png
309 | 2021-10-31 | 吊られた少女の見たものは | 4 | cute | 天才の耳 | ボクのあしあと キミのゆくさき | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no013/card_after_training.png
327 | 2021-11-30 | いつものラーメン | 3 | cool | 穏やかな時間 | 交わる旋律 灯るぬくもり | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no014/card_after_training.png
361 | 2022-01-21 | 微かに光るエルピス | 4 | pure | これからも、４人で | いつか、絶望の底から | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no015/card_after_training.png
398 | 2022-03-20 | 音が腑に落ちる瞬間 | 4 | cool | いつでも頼って | 空白のキャンバスに描く私は | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no017/card_after_training.png
449 | 2022-06-10 | その手を離さないように | 2 | mysterious | 何度でも見つけるから | 迷い子の手を引く、そのさきは | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no018/card_after_training.png
487 | 2022-08-20 | 朝日に目を細めて | 4 | cute | 初めてのカフェ作業 | そしていま、リボンを結んで | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no020/card_after_training.png
503 | 2022-09-09 | 出会いを導いて | 2 | happy | コロッケじゃなくてミートボール | 好きを描いて♪レインボーキャンバス | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no021/card_after_training.png
541 | 2022-11-20 | この街一番の専門店で | 4 | mysterious | 昔と今の違いは…… | 願いは、いつか朝をこえて | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no022/card_after_training.png
612 | 2023-03-21 | 灯る、決意 | 4 | pure | そばで、このあたたかさを | イミシブル・ディスコード | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no025/card_after_training.png
678 | 2023-07-11 | 震える背に優しさを | 4 | mysterious | 待つことのもどかしさ | 仮面の私にさよならを | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no027/card_after_training.png
740 | 2023-09-29 | Brand New Style | 2 | pure | あたりまえをあたりまえに |  | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no028/card_after_training.png
