【草薙寧々 - 4星】

角色: 草薙寧々
分类: 4星
数量: 28

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
144 | 2020-12-20 | 空からの贈り物 | 4 | cute | 楽しいバカ騒ぎ | 聖なる夜に、この歌声を | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no007/card_after_training.png
181 | 2021-02-28 | 想いのメッセンジャー | 4 | mysterious | 笑っててほしい | スマイルオブドリーマー | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no008/card_after_training.png
234 | 2021-06-11 | あなたがくれた自信 | 4 | cool | これからを大事に | ワンダーマジカルショウタイム！ | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no009/card_after_training.png
269 | 2021-08-20 | 打ち上げは花火で | 4 | pure | 勇気をくれた歌 | マーメイドにあこがれて | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no010/card_after_training.png
303 | 2021-10-21 | 人見知りな来訪者 | 4 | happy | 新しいチャレンジ | Revival my dream | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no011/card_after_training.png
348 | 2021-12-31 | きらびやかな夢の舞台 | 4 | mysterious | いつか胸を張って言える答えを |  | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no012/card_after_training.png
411 | 2022-04-11 | 子リス達のお誘い | 4 | cute | ちょっとは信頼してるから | まばゆい光のステージで | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no014/card_after_training.png
450 | 2022-06-20 | 遊びのお礼に | 4 | happy | アドレス帳、危機一髪！？ | 絶体絶命！？アイランドパニック！ | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no015/card_after_training.png
475 | 2022-07-31 | 標的は逃がさない | 4 | cute | 好きなものこそわかちあって | close game/OFFLINE | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no017/card_after_training.png
524 | 2022-10-21 | 幼馴染みのまなざし | 4 | cool | 初めての差し入れ | カーテンコールに惜別を | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res015_no018/card_after_training.png
