【東雲彰人 - 新制服】

角色: 東雲彰人
分类: 新制服
数量: 12

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
768 | 2023-10-12 | 炎の継承 | 4 | cute | いつか全部片づいたら | BURN MY SOUL | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no030/card_after_training.png
919 | 2024-04-30 | 二度と見失わないように | 2 | happy | 居心地のいい空気 | Whip the wimp girl!! | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no036/card_after_training.png
994 | 2024-09-10 | 大会のあとは大盛りで | 4 | happy | 再びのアスレチック | 鍛えてFLY！Muscle Training！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no038/card_after_training.png
1016 | 2024-10-21 | 燻る想い | 4 | cool | こいつらと世界へ | Rekindle the flame | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no039/card_after_training.png
1053 | 2024-12-21 | 白熱！雪合戦！ | 3 | pure | セカイでも雪合戦！？ | Special present for YOU！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no041/card_after_training.png
1068 | 2025-01-11 | 機内からの景色 | 3 | mysterious | 家族への土産 | Time to take off！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no043/card_after_training.png
1183 | 2025-05-31 | その目に映る『世界』 | 3 | happy | 同じ気持ちの朝 | Aim higher and higher！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no047/card_after_training.png
1217 | 2025-07-31 | 帰ってきた日常 | 2 | cute | オレンジ色の罠 | Competitive fire！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no048/card_after_training.png
1284 | 2025-11-20 | 搔き集めた武器で | 4 | mysterious | 仲間の想いと共に | Overcome one's limits | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no051/card_after_training.png
1323 | 2026-01-21 | 譲れないなら共に背負って | 3 | cool | 肌で感じてわかるもの | GO ALL OUT | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no052/card_after_training.png
1369 | 2026-04-09 | この壁を越えるために | 4 | mysterious | まだ満足できねえ | Show 'em what's up！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no054/card_after_training.png
1387 | 2026-05-08 | ちゃんと聞いてたか？ | 4 | pure | サプライズを探しに | Stay solid, No fold | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no055/card_after_training.png
