【日野森志歩 - 2星】

角色: 日野森志歩
分类: 2星
数量: 10

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
14 | 2020-09-29 | Leo/need | 2 | mysterious | 本当、これだから… |  | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no002/card_after_training.png
159 | 2021-01-10 | いろんな優しさ | 2 | cute | 少しでも優しく…… | 揺れるまま、でも君は前へ | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no006/card_after_training.png
354 | 2021-12-31 | 音の道も書の道も | 2 | cool | ナイスアシスト | 祈りの先 願う明日は | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no013/card_after_training.png
473 | 2022-07-21 | 真正面からのリベンジへ | 2 | happy | 大切だからこそ | No seek No find | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no019/card_after_training.png
560 | 2022-12-21 | Leo/needで雪遊び | 2 | pure | 雪ウサギの正体 | 弓引け、白の世界で | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no022/card_after_training.png
628 | 2023-04-11 | テクニカルエキスパート | 2 | cute | 最高の音を、仲間と共に | Get over it. | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no026/card_after_training.png
727 | 2023-09-29 | Brand New Style | 2 | happy | 念願の？ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no029/card_after_training.png
1002 | 2024-09-20 | 変わることのない想い | 2 | pure | ザ・青春！？ | This moment with you！ | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no039/card_after_training.png
1026 | 2024-10-31 | 本番を待ちながら | 2 | cool | 最高のイメージを目指して | Happy Enjoy Music！ | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no041/card_after_training.png
1293 | 2025-11-30 | オススメはしょうゆラーメン | 2 | cute | たしかな手応え | 仰ぐ夜空に、星は紛れて | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no051/card_after_training.png
