【日野森志歩 - 特典】

角色: 日野森志歩
分类: 特典
数量: 13

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
275 | 2021-08-31 | 寂しさを埋めてくれたのは | 4 | cute | まだぎゅってしてて | ふたり、月うさぎ | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no010/card_after_training.png
457 | 2022-06-30 | 私にとって正しい道 | 4 | mysterious | あの日の覚悟 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no018/card_after_training.png
493 | 2022-08-31 | 全力のステージ | 4 | pure | 鼓舞の言葉 | Don't lose faith! | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no020/card_after_training.png
529 | 2022-10-31 | 文化祭で縮まる距離 | 4 | mysterious | 後夜祭ライブ！ | 絶叫！？ オオカミの森へようこそ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no021/card_after_training.png
619 | 2023-03-30 | 音と音を合わせて | 4 | happy | 刻むビート、弾むグルーヴ | 交響する街の片隅で | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no025/card_after_training.png
843 | 2023-12-31 | 少しの恥ずかしさと | 4 | mysterious | 新年の決意表明 | 変わらぬあたたかさの隣で | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no033/card_after_training.png
964 | 2024-07-17 | この電車に乗る時 | 4 | cute | クレープ屋さんでの邂逅 | あの日見た夜空は、いつかの未来へ | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no038/card_after_training.png
1006 | 2024-09-30 | 歯がゆいメイクアップ | 4 | pure | 最高に楽しんでもらうために | 想いをのせて！Dream Stage | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no040/card_after_training.png
1146 | 2025-03-30 | 衝動に身を任せて | 4 | cool | 次の目標 | Find the dream view | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no046/card_after_training.png
1192 | 2025-06-23 | 仲間との談笑 | 4 | happy | 夢の中で得られたもの | ordinary,yet special us | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no047/card_after_training.png
1307 | 2025-12-31 | 陽だまりのような今を | 4 | pure | いくつもの記憶の中で | 新年言祝ぐ、祈りの舞 | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no052/card_after_training.png
1394 | 2026-05-17 | 想いと熱を込めて | 4 | mysterious | 全員参加セッション！？ | Great Yell for Dreamers！ | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no056/card_after_training.png
1435 | 2026-07-31 | 胸の底にわだかまるもの | 4 | cute | 今の私達なら | Echo of a Prayer | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no057/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res004_no057/card_after_training.png
