【桃井愛莉 - 2星】

角色: 桃井愛莉
分类: 2星
数量: 11

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
26 | 2020-09-29 | MORE MORE JUMP！ | 2 | cute | アンタは顔を隠しなさい！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no002/card_after_training.png
194 | 2021-03-22 | 後輩のためにできること | 2 | happy | 同じ思いはさせない | 届け！HOPEFUL STAGE♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no007/card_after_training.png
226 | 2021-05-21 | パーフェクト・スイーツ | 2 | cool | たまには力を抜いて | 頑張るあなたにBreak Time！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no009/card_after_training.png
395 | 2022-03-11 | ミステリアスハート・ウィッチ | 2 | mysterious | 三つ葉にこめられた想い | Cast Spell on You | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no015/card_after_training.png
676 | 2023-06-30 | わたしだって楽しみなんだから | 2 | pure | お土産話をするまでが旅 | 一期一会な百鬼夜行！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no026/card_after_training.png
718 | 2023-09-11 | 大切な後輩にた～っくさんの愛を | 2 | cute | 今度はわたしの番！ | 君と紡ぐPrecious memories | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no028/card_after_training.png
730 | 2023-09-29 | Brand New Style | 2 | mysterious | 先輩の背中 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no029/card_after_training.png
882 | 2024-02-29 | 言葉だけでも伝えて | 2 | happy | MORE MORE JUMP！からの贈り物 | リラックスティータイム | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no033/card_after_training.png
1049 | 2024-12-11 | ひとりのファンとして | 2 | cool | わたし達だけの秘密 | Grow glorious glow | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no039/card_after_training.png
1114 | 2025-02-10 | お料理配信準備中 | 2 | mysterious | 栄養たっぷり簡単レシピ | Rise and Strive | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no042/card_after_training.png
1444 | 2026-08-09 | 考え方ひとつで | 2 | pure | ファンに見守られて | Leap Beyond The Limits！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no054/card_after_training.png
