【桃井愛莉 - 旧制服】

角色: 桃井愛莉
分类: 旧制服
数量: 22

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
25 | 2020-09-29 | 不屈のアイドル魂 | 1 | mysterious | わたしに任せなさい！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no001/card_after_training.png
26 | 2020-09-29 | MORE MORE JUMP！ | 2 | cute | アンタは顔を隠しなさい！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no002/card_after_training.png
27 | 2020-09-29 | 夢を応援！ | 3 | pure | これがアイドルの極意よ！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no003/card_after_training.png
129 | 2020-11-19 | いつでも前を向いて | 4 | cute | わたし達らしくあるために！ | ここからRE:START！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no005/card_after_training.png
162 | 2021-01-21 | 甘いひととき | 4 | cool | 負けず嫌いの意地？ | Color of Myself！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no006/card_after_training.png
194 | 2021-03-22 | 後輩のためにできること | 2 | happy | 同じ思いはさせない | 届け！HOPEFUL STAGE♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no007/card_after_training.png
218 | 2021-05-10 | 変わらぬ不屈の心 | 4 | pure | 親友への恩返し | お悩み聞かせて！わくわくピクニック | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no008/card_after_training.png
226 | 2021-05-21 | パーフェクト・スイーツ | 2 | cool | たまには力を抜いて | 頑張るあなたにBreak Time！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no009/card_after_training.png
257 | 2021-07-20 | それはズルいでしょ！ | 3 | happy | おいしい夏祭り | 夏祭り、鳴り響く音は | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no011/card_after_training.png
264 | 2021-08-10 | 全力！ハッピーエブリデイ！ | 4 | mysterious | わたしが届けられたもの | ハッピー・ラブリー・エブリデイ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no012/card_after_training.png
331 | 2021-12-10 | ファンと一緒に！ | 4 | mysterious | 笑顔の反省会 | MOREMOREMakingXmas | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no013/card_after_training.png
395 | 2022-03-11 | ミステリアスハート・ウィッチ | 2 | mysterious | 三つ葉にこめられた想い | Cast Spell on You | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no015/card_after_training.png
443 | 2022-05-31 | キュートに目を奪われて | 3 | cute | いろいろな形の幸せ | 青空に願うユア・ハピネス！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no017/card_after_training.png
481 | 2022-08-10 | 最強アイドルスマイル！ | 4 | cool | 癒しの足つぼマッサージ？ | 青空の先、輝きを追いかけて | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no018/card_after_training.png
519 | 2022-10-12 | ワンマン作戦会議！ | 4 | cute | 最高のワンマンにするために | 拝啓、あの頃のわたしへ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no019/card_after_training.png
559 | 2022-12-21 | はじめての茶道 | 3 | mysterious | みんなで茶道体験会♪ | 弓引け、白の世界で | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no021/card_after_training.png
591 | 2023-02-10 | 無理はしないで | 4 | happy | 変わらぬ憧れ | ほどかれた糸のその先に | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no022/card_after_training.png
630 | 2023-04-21 | 離れていく距離 | 4 | cute | 変わらぬ想いで交わす約束 | Re-tie Friendship | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no024/card_after_training.png
665 | 2023-06-20 | よりよい配信のために | 4 | cool | 夢を追う者同士 | STEP by STEP！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no025/card_after_training.png
676 | 2023-06-30 | わたしだって楽しみなんだから | 2 | pure | お土産話をするまでが旅 | 一期一会な百鬼夜行！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no026/card_after_training.png
718 | 2023-09-11 | 大切な後輩にた～っくさんの愛を | 2 | cute | 今度はわたしの番！ | 君と紡ぐPrecious memories | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no028/card_after_training.png
730 | 2023-09-29 | Brand New Style | 2 | mysterious | 先輩の背中 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no029/card_after_training.png
