【白石杏 - 4星】

角色: 白石杏
分类: 4星
数量: 27

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
134 | 2020-11-30 | 相棒なのに | 4 | cool | 信じる力 | いつか、背中あわせのリリックを | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no005/card_after_training.png
167 | 2021-01-31 | 寄り添う想い | 4 | mysterious | プレシャスファム！ | Period of NOCTURNE | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no006/card_after_training.png
213 | 2021-04-30 | 仲間だから | 4 | happy | 伝説の夜への想い | STRAY BAD DOG | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no007/card_after_training.png
250 | 2021-07-09 | 相棒に伝える言葉 | 4 | cute | 絶対の信頼 | Awakening Beat | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no009/card_after_training.png
296 | 2021-10-11 | オーバー・ザ・フェンス | 4 | cool | 心を決めて | Bout for Beside You | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no010/card_after_training.png
343 | 2021-12-20 | みんなでBBQ♪ | 4 | pure | 帰ったあとも遠足だよ！ | Same Dreams,Same Colors | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no012/card_after_training.png
402 | 2022-03-30 | かつての熱狂 | 4 | cute | 同じ夢を追いかける仲間と |  | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no014/card_after_training.png
440 | 2022-05-31 | 純白に身を包んで | 4 | pure | 親達の反応 | 青空に願うユア・ハピネス！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no016/card_after_training.png
463 | 2022-07-11 | 優しい記憶 | 4 | mysterious | RADderのケンカ事情？ | The Vivid Old Tale | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no017/card_after_training.png
566 | 2022-12-31 | ゲレンデを照らすほどの | 4 | mysterious | 楽しむための下準備！ | 新春！ 獅子舞ロボのお正月ショー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no021/card_after_training.png
596 | 2023-02-19 | 見上げた先の景色 | 4 | happy | 君と並んで歩いていたい | Kick it up a notch | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no022/card_after_training.png
620 | 2023-03-30 | おつかい中の出会い | 4 | happy | 今はただ、歌うだけ | 交響する街の片隅で | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no023/card_after_training.png
659 | 2023-06-10 | あふれ出す想いと | 4 | cute | その涙は花となり | Light Up the Fire | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no024/card_after_training.png
719 | 2023-09-20 | 笑顔も花丸！ | 4 | cool | もう我慢できない！ | Let's study hard！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no027/card_after_training.png
849 | 2024-01-09 | 辿り着けなかった場所へ | 4 | pure | ここで働かせてください！！ | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no032/card_after_training.png
891 | 2024-03-22 | 夜道を揺られて | 4 | happy | よろしくね、先生！ | The first concerto | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no033/card_after_training.png
915 | 2024-04-30 | 決戦の時 | 4 | cool | 今日はケンカ中！ | Whip the wimp girl!! | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no034/card_after_training.png
975 | 2024-08-09 | 笑顔は標準装備で | 4 | mysterious | ちょうどいい距離感 | 鳴らせビューティフルサウンド！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no037/card_after_training.png
1018 | 2024-10-21 | 目指せ、英語マスター！ | 4 | cool | 悪夢にも負けず | Rekindle the flame | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no039/card_after_training.png
1058 | 2024-12-31 | かけがえのない人達 | 4 | pure | 決して忘れない | Unfading wishing | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no040/card_after_training.png
1152 | 2025-04-08 | 切なさも受け止めて | 4 | cute | ひとりじゃないから | Turning Pain into Drive | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no043/card_after_training.png
1213 | 2025-07-31 | 笑顔で手を振って | 4 | happy | ライバルと競い合って | Competitive fire！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no046/card_after_training.png
1254 | 2025-09-30 | この瞬間を焼き付けて | 4 | pure | 親友との約束 | Our Golden Days | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no048/card_after_training.png
1286 | 2025-11-20 | 電話越しの相談 | 4 | mysterious | 応援を込めたメッセージ | Overcome one's limits | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no049/card_after_training.png
