【白石杏 - 旧制服】

角色: 白石杏
分类: 旧制服
数量: 20

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
37 | 2020-09-29 | カリスマシンガー | 1 | cute | 幽霊なんていないから！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no001/card_after_training.png
38 | 2020-09-29 | Vivid BAD SQUAD | 2 | cool | 私のオススメ！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no002/card_after_training.png
39 | 2020-09-29 | 絶賛、手伝い中！ | 3 | pure | いらっしゃい！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no003/card_after_training.png
134 | 2020-11-30 | 相棒なのに | 4 | cool | 信じる力 | いつか、背中あわせのリリックを | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no005/card_after_training.png
167 | 2021-01-31 | 寄り添う想い | 4 | mysterious | プレシャスファム！ | Period of NOCTURNE | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no006/card_after_training.png
231 | 2021-05-31 | 飛び入りダンサー | 2 | happy | いつか私達の手で | 純白の貴方へ、誓いの歌を！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no008/card_after_training.png
250 | 2021-07-09 | 相棒に伝える言葉 | 4 | cute | 絶対の信頼 | Awakening Beat | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no009/card_after_training.png
296 | 2021-10-11 | オーバー・ザ・フェンス | 4 | cool | 心を決めて | Bout for Beside You | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no010/card_after_training.png
322 | 2021-11-20 | ワクワク最高潮！ | 3 | mysterious | デートのお相手は？ | バディ・ファニー・スペンドタイム♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no011/card_after_training.png
343 | 2021-12-20 | みんなでBBQ♪ | 4 | pure | 帰ったあとも遠足だよ！ | Same Dreams,Same Colors | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no012/card_after_training.png
376 | 2022-02-09 | これから開店！ | 3 | cute | 迷っても、前へ！ | Legend still vivid | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no013/card_after_training.png
438 | 2022-05-20 | ほんの少しの悔しさ | 2 | pure | 譲れない熱 | THE POWER OF UNITY | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no015/card_after_training.png
463 | 2022-07-11 | 優しい記憶 | 4 | mysterious | RADderのケンカ事情？ | The Vivid Old Tale | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no017/card_after_training.png
507 | 2022-09-20 | ニュアンスランゲージ | 3 | cool | この歌だからこその情熱を | Walk on and on | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no019/card_after_training.png
555 | 2022-12-11 | 限定メニューアンケート！ | 2 | mysterious | WEEKEND GARAGEのクリスマス | Find A Way Out | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no020/card_after_training.png
596 | 2023-02-19 | 見上げた先の景色 | 4 | happy | 君と並んで歩いていたい | Kick it up a notch | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no022/card_after_training.png
659 | 2023-06-10 | あふれ出す想いと | 4 | cute | その涙は花となり | Light Up the Fire | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no024/card_after_training.png
697 | 2023-08-10 | たまにはこんな日も | 3 | happy | 練習予想大会？ | On Your Feet | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no026/card_after_training.png
719 | 2023-09-20 | 笑顔も花丸！ | 4 | cool | もう我慢できない！ | Let's study hard！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no027/card_after_training.png
733 | 2023-09-29 | Brand New Style | 2 | cute | 一緒にお昼を |  | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no028/card_after_training.png
