【桐谷遥 - 新制服】

角色: 桐谷遥
分类: 新制服
数量: 13

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
832 | 2023-12-10 | サプライズ計画 | 2 | pure | 意外にいたずら好き？ | あっちこっち飼育員体験！ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no032/card_after_training.png
874 | 2024-02-20 | 驚きの築年数 | 4 | pure | ボロボロならではの楽しみかた？ | 刻まれた傷は、やがて | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no034/card_after_training.png
938 | 2024-06-10 | 心に近づいて、一緒に | 4 | cool | 信念と夢の合致 | Lead to shine more | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no036/card_after_training.png
993 | 2024-09-10 | 応援を翼に | 4 | happy | 道具のマル秘？入手経路 | 鍛えてFLY！Muscle Training！ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no038/card_after_training.png
1048 | 2024-12-11 | 真心を尽くして | 3 | cute | 栄養たっぷりの差し入れ | Grow glorious glow | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no040/card_after_training.png
1108 | 2025-01-31 | モアモアハウスのサプライズ | 2 | happy | かわいすぎてどうしよう | このひと針に想いを込めて | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no043/card_after_training.png
1110 | 2025-02-10 | 突きつけられた現実 | 4 | mysterious | はるか遠くどこまでも | Rise and Strive | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no044/card_after_training.png
1177 | 2025-05-23 | プロデュースのノウハウを求めて | 3 | pure | 絵になる姿 | Cheer with my Heart! | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no045/card_after_training.png
1208 | 2025-07-23 | Fantastic！トレーニングルーム | 4 | pure | お部屋プロデュース！ | start rolling! stars' crossing | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no046/card_after_training.png
1270 | 2025-10-21 | 合同ウォーミングアップ | 2 | cute | みんなでリフレッシュデー | 交わる色はあの日のままに | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no050/card_after_training.png
1300 | 2025-12-21 | 揺るがぬ心は熱を帯びて | 4 | cool | ファンに伝えたい想い | この物語は希望をのせて | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no051/card_after_training.png
1353 | 2026-03-10 | もくもくマンガタイム | 3 | cool | ふたりだけのお仕事 | Open up new horizons！ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no052/card_after_training.png
1440 | 2026-08-09 | 準決勝への意気込み | 4 | cute | ペンギンリラクゼーション | Leap Beyond The Limits！ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no055/card_after_training.png
