【日野森雫 - 4星】

角色: 日野森雫
分类: 4星
数量: 28

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
160 | 2021-01-21 | 誰でもない“この私”を | 4 | cool | ありのままの私で | Color of Myself！ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no006/card_after_training.png
192 | 2021-03-22 | にゃ～ん？ | 4 | happy | 助けになりますように | 届け！HOPEFUL STAGE♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no007/card_after_training.png
223 | 2021-05-21 | リラックス・タイムのお誘い | 4 | mysterious | シャル・ウィー・ブレイク？ | 頑張るあなたにBreak Time！ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no008/card_after_training.png
274 | 2021-08-31 | あの日と同じお団子を | 4 | cute | 今度は私が支えたいの | ふたり、月うさぎ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no010/card_after_training.png
332 | 2021-12-10 | 手作りおにぎり召し上がれ♪ | 4 | mysterious | みんなへのプレゼント | MOREMOREMakingXmas | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no013/card_after_training.png
391 | 2022-03-11 | Feel like Magic | 4 | pure | 『想い』から生まれた衣装 | Cast Spell on You | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no015/card_after_training.png
441 | 2022-05-31 | 転ばぬようあなたの手を | 4 | pure | 完璧なエスコートの秘密？ | 青空に願うユア・ハピネス！ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no017/card_after_training.png
482 | 2022-08-10 | 落ちちゃったかしら？ | 4 | cool | あなたはずっとずっとアイドル | 青空の先、輝きを追いかけて | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no018/card_after_training.png
512 | 2022-09-30 | おまんじゅうでリラックス♪ | 4 | pure | 偶然のラッキー？ | この祭に 夕闇色も | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no019/card_after_training.png
556 | 2022-12-21 | 千射万箭の気持ちで | 4 | cute | 増えた雪ウサギの謎！？ | 弓引け、白の世界で | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no023/card_after_training.png
