【神代類 - 新制服】

角色: 神代類
分类: 新制服
数量: 13

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
792 | 2023-11-22 | くすぐられる好奇心 | 4 | mysterious | プロの情熱 | 君が主役の物語を | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no030/card_after_training.png
854 | 2024-01-23 | 漏れ聞こえる言葉 | 4 | happy | 名誉のエンドロール | 逆光のレンズフレア | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no032/card_after_training.png
902 | 2024-03-30 | 掘り出し物発見！ | 2 | cute | 鳴き声サンプル大募集！？ | Rise as ONE！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no034/card_after_training.png
930 | 2024-05-23 | 天狗の太刀さばき | 3 | mysterious | 貪欲な演出家 | perspective for smile | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no035/card_after_training.png
957 | 2024-07-09 | クールな悪役？ | 4 | pure | 小道具班で大活躍！ | お縄を頂戴！？天馬捕物帳 | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no037/card_after_training.png
1038 | 2024-11-20 | 海中ショーへご招待！ | 2 | mysterious | 一番の敵の名は | The Power Of Regret | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no039/card_after_training.png
1050 | 2024-12-21 | サンタさんに会うぞ！大作戦 | 4 | pure | その笑顔のために | Special present for YOU！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no040/card_after_training.png
1126 | 2025-02-20 | 演出家のこだわり | 2 | happy | 新機能をご覧あれ | 昔日のRead-aloud | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no043/card_after_training.png
1159 | 2025-04-22 | 野菜押し付け現行犯 | 3 | happy | ファンの想い、ファンの力 | Choices for the future | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no044/card_after_training.png
1283 | 2025-11-10 | あふれ出るアイディア | 2 | pure | ありがとうにありがとうを | 超克のプロタゴニスタ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no050/card_after_training.png
1330 | 2026-01-31 | 魔法使いの真骨頂 | 3 | cute | 運命的な出会い | 粉砕せよ！アンヴァレンタインの復讐 | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no051/card_after_training.png
1340 | 2026-02-19 | 宇宙でドタバタシューティング！ | 4 | mysterious | 笑顔溢れる実験タイム | CHANGE！えむは王女さま！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no052/card_after_training.png
1412 | 2026-06-20 | 憂いの先 | 4 | pure | 次に繋がるもの | Phantom maze monster | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no055/card_after_training.png
