【花里みのり - カード】

名前: 花里みのり
カード枚数: 54

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | めざせアイドル！ | 1 | pure | イエトレ？ | 
2020-09-29 | MORE MORE JUMP！ | 2 | cool | キャッチフレーズノート！ | 
2020-09-29 | ライブ前夜の決意 | 3 | cute | 届け、この想い！ | 
2020-11-19 | あわわわわっ！？ | 4 | cute | 新しい試み | ここからRE:START！
2021-01-21 | ポジティブ・フラワー | 2 | pure | その背中を追いかけて | Color of Myself！
2021-03-22 | “あなた”のために | 4 | happy | ４人分の“もっともっと” | 届け！HOPEFUL STAGE♪
2021-04-01 | 広がる友情の輪 | 3 | cool | ささやかな宴 | 君と歌う、桜舞う世界で
2021-05-21 | 熱烈コール！ | 4 | mysterious | レッツ・アニマル・セラピー | 頑張るあなたにBreak Time！
2021-08-10 | 慌てんぼうなメッセンジャー | 2 | mysterious | 世界にひとつだけのサイン | ハッピー・ラブリー・エブリデイ！
2021-10-01 | 仲間達からの祝福 | 4 | pure | 未熟でも、もっともっと | スクランブル・ファンフェスタ！
2021-12-10 | レッツ・ファンミーティング！ | 4 | mysterious | ミニライブの段取り | MOREMOREMakingXmas
2022-03-11 | 熱烈トーク！ | 4 | pure | ちょっとずつプロ意識 | Cast Spell on You
2022-04-13 | Happy Birthday！！ | bd | cool | ファン達からの祝福 | 
2022-04-30 | 初めての声域チェック！ | 4 | cool | MORE MORE JUMP！秘話！？ | つなぐPainful Hope
2022-06-30 | 名誉の転倒 | 4 | happy | ペンぴょんを持つべき人は | みんなでエンジョイ！スポジョイパーク
2022-08-10 | 想い混ざりあうスムージー | 3 | pure | スイカ割りで特訓！ | 青空の先、輝きを追いかけて
2022-10-12 | スポットライトのその先へ | 4 | cute | この親にしてこの子あり？ | 拝啓、あの頃のわたしへ
2022-10-31 | 首がちぎれちゃいそう！ | 4 | mysterious | ニャンだふるな応援♪ | 絶叫！？ オオカミの森へようこそ！
2022-11-30 | 深夜のMC特訓 | 3 | happy | 来たるべき日に備えて……！ | あの日の夢の、彼方向こうへ
2023-02-10 | もぐもぐTime！ | 4 | happy | 楽屋のすごしかた講座 | ほどかれた糸のその先に
2023-04-13 | Happy Birthday！！2023 | bd | pure | みのりマスター決定戦！？ | 
2023-04-21 | 友情にほぐされて | 2 | happy | みんなの鞄の中身大公開！ | Re-tie Friendship
2023-06-20 | 一生の宝物だよ！ | 4 | cool | 初めて会話したあの日 | STEP by STEP！
2023-07-31 | おいしいの三段活用 | 3 | mysterious | 食レポ自主練習会！？ | ドタバタ cafe ●REC!!
2023-09-29 | Brand New Style | 2 | happy | あなたもわたしも有名人 | 
2023-09-30 | 気になっちゃう背中 | 4 | cute | 同じ学校の生徒として | ハロー・グッド・デイ！
2023-10-31 | 先輩達の背中 | 2 | cute | みんなで作ったモアモアカレー！ | その手導くぬくもりは
2023-12-05 | feat.KIRIMIちゃん. | 2 | cute | おいしく食べてね！ | 
2023-12-10 | スカッとササッと | 4 | cool | １日飼育員のお仕事 | あっちこっち飼育員体験！
2023-12-31 | 夢は新たな夢を紡ぐ | 4 | pure | 夢で終わらせないために | 
2024-02-20 | 胸に刺さる本音 | 4 | pure | お別れじゃないよ！？ | 刻まれた傷は、やがて
2024-02-29 | こんなのもあったよ！ | 3 | cool | ホワイトデーのためのエール！ | リラックスティータイム
2024-03-30 | 遊び疲れて | 3 | happy | 飼い犬は飼い主に似る？ | Rise as ONE！
2024-04-13 | Happy Birthday！！2024 | bd | mysterious | 胸いっぱいのふれあいツアー | 
2024-05-09 | 積み重ねた想いは | 4 | cute | イメージを膨らませて | いつか花咲くステージへ
2024-05-31 | いざ、変身！ | 4 | mysterious | レッツゴー！お試し散歩！ | みんなで配信♡WEDDING LIVE！
2024-07-31 | もっと輝きたいから | 2 | pure | だめだめDay | Chase my IDEAL IDOL！
2024-12-11 | 言葉にならない感動 | 4 | happy | 盛り上がる同志達 | Grow glorious glow
2025-01-16 | Let's enjoy the movie！ | 2 | cool | みんなで一緒に食べようね！ | 
2025-02-10 | 真剣会議！ | 4 | mysterious | ひとりひとりできることを | Rise and Strive
2025-03-10 | お友達になれるかな？ | 2 | mysterious | 友情のゆくえ | You are my HERO!!
2025-04-13 | Happy Birthday！！2025 | bd | cute | ありがとうのサプライズ | 
2025-05-23 | 一緒に振り返りタイム | 4 | happy | 積み上げた努力 | Cheer with my Heart!
2025-07-23 | 素直な想いを紡いで | 4 | pure | みんなで持ち物チェック | start rolling! stars' crossing
2025-08-08 | 夢は雑踏に紛れて | 4 | cool | 頑張る希望を届けて | All ways Jump! with you
2025-09-30 | キラキラのアイドル！ | 4 | cute | 今日がいい日じゃなくても | Our Golden Days
2025-10-21 | 全力トレーニング！ | 3 | cute | 本番直前インタビュー！ | 交わる色はあの日のままに
2025-12-21 | また会える日を想って | 2 | happy | 笑顔をくれるファンレター | この物語は希望をのせて
2025-12-31 | 想いを込めた舞 | 4 | cool | 未来へとつなぐために | 新年言祝ぐ、祈りの舞
2026-03-10 | うっかりは口から | 4 | pure | スペシャルお散歩プラン | Open up new horizons！
2026-04-09 | Happy Birthday！！2026 | bd | happy | お返しは最高のライブで！ | 
2026-05-17 | 熱血コーチング！？ | 4 | happy | いろいろな励まし方 | Great Yell for Dreamers！
2026-06-30 | 可愛い応援 | 4 | mysterious | 思い出と決意を飾って | アイドル・花里みのり～夢の最前線～
2026-08-09 | しばしのお別れ | 4 | cute | 不思議なボールのうわさ | Leap Beyond The Limits！
