【日野森志歩 - カード】

名前: 日野森志歩
カード枚数: 56

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | 馴れ合いを嫌う一匹狼 | 1 | happy | マメなお世話が大事 | 
2020-09-29 | Leo/need | 2 | mysterious | 本当、これだから… | 
2020-09-29 | 胸に残る旋律 | 3 | cute | 懐かしい思い出 | 
2020-10-09 | 気づきたかった熱さ | 4 | mysterious | 一等星のシグナル | 雨上がりの一番星
2021-01-10 | いろんな優しさ | 2 | cute | 少しでも優しく…… | 揺れるまま、でも君は前へ
2021-02-09 | 絆と憂い | 4 | cute | 決められない心 | 響くトワイライトパレード
2021-04-21 | 見つけられた答え | 4 | cool | これからも一緒に | Resonate with you
2021-06-30 | 昼休みの語らい | 4 | happy | 薄日の中のチューニング | Unnamed Harmony
2021-08-31 | 寂しさを埋めてくれたのは | 4 | cute | まだぎゅってしてて | ふたり、月うさぎ
2021-09-10 | このあとは反省会 | 3 | pure | 仲間への信頼 | Knock the Future!!
2021-11-11 | 痛い言葉 | 4 | cool | 噂の真相 | 揺るがぬ想い、今言葉にして
2021-12-31 | 音の道も書の道も | 2 | cool | ナイスアシスト | 祈りの先 願う明日は
2022-01-07 | Happy Birthday！！ | bd | happy | 雫主催・友人達との誕生日会 | 
2022-02-18 | 昔日に抱いた願い | 4 | pure | 夢みたいな現実 | あの日、空は遠かった
2022-02-28 | 『ありがとう』を込めて | 3 | mysterious | たまには手作りも | 怪盗紳士のハラハラ！？ホワイトデー
2022-04-21 | これからの展開は | 3 | cool | クレープパーティー | Live with memories
2022-06-30 | 私にとって正しい道 | 4 | mysterious | あの日の覚悟 | 
2022-07-21 | 真正面からのリベンジへ | 2 | happy | 大切だからこそ | No seek No find
2022-08-31 | 全力のステージ | 4 | pure | 鼓舞の言葉 | Don't lose faith!
2022-10-31 | 文化祭で縮まる距離 | 4 | mysterious | 後夜祭ライブ！ | 絶叫！？ オオカミの森へようこそ！
2022-12-21 | Leo/needで雪遊び | 2 | pure | 雪ウサギの正体 | 弓引け、白の世界で
2023-01-07 | Happy Birthday！！2023 | bd | cool | サプライズの行方は | 
2023-01-21 | 大事な準備 | 4 | cute | 優しさと強さと | Little Bravers！
2023-03-30 | 音と音を合わせて | 4 | happy | 刻むビート、弾むグルーヴ | 交響する街の片隅で
2023-04-11 | テクニカルエキスパート | 2 | cute | 最高の音を、仲間と共に | Get over it.
2023-07-21 | 今日は特別だから | 4 | cool | 晴天祈願！ | つなぐ、星の歌
2023-09-11 | 勝てない眼差し | 4 | happy | こだわりは細部まで | 君と紡ぐPrecious memories
2023-09-29 | Brand New Style | 2 | happy | 念願の？ | 
2023-10-22 | 始まりの音 | 4 | pure | 今よりもうまく | Stick to your faith
2023-12-05 | feat.シュガーバニーズ | 2 | mysterious | 素敵なスイーツ、召し上がれ | 
2023-12-10 | ときめきを隠して | 4 | cool | 寝る子は守る | あっちこっち飼育員体験！
2023-12-31 | 少しの恥ずかしさと | 4 | mysterious | 新年の決意表明 | 変わらぬあたたかさの隣で
2024-01-07 | Happy Birthday！！2024 | bd | cute | やりすぎないといいけど…… | 
2024-02-10 | 喜ぶ顔を思い浮かべて | 3 | happy | ささやかなピクニック | 導く勇気、優しさを胸に
2024-04-20 | 差し入れを持って | 4 | happy | 私は、私の役目を | Parallel Harmonies
2024-05-31 | 笑みもこぼれるおもしろトーク？ | 3 | pure | ブライダルフェスタ感想会！ | みんなで配信♡WEDDING LIVE！
2024-07-17 | この電車に乗る時 | 4 | cute | クレープ屋さんでの邂逅 | あの日見た夜空は、いつかの未来へ
2024-09-20 | 変わることのない想い | 2 | pure | ザ・青春！？ | This moment with you！
2024-09-30 | 歯がゆいメイクアップ | 4 | pure | 最高に楽しんでもらうために | 想いをのせて！Dream Stage
2024-10-31 | 本番を待ちながら | 2 | cool | 最高のイメージを目指して | Happy Enjoy Music！
2024-11-10 | 夕景、秋風に吹かれて | 4 | mysterious | 大事な大事なお土産 | また、木の葉の色づく頃に
2025-01-07 | Happy Birthday！！2025 | bd | mysterious | 綴られた想いを探して | 
2025-01-16 | Let's enjoy the movie！ | 2 | happy | 待ってたよ。行こうか | 
2025-02-28 | もっとぎゅーっと仲良し♪ | 3 | cool | お返しに感謝を込めて | Connect hearts message
2025-03-30 | 衝動に身を任せて | 4 | cool | 次の目標 | Find the dream view
2025-06-23 | 仲間との談笑 | 4 | happy | 夢の中で得られたもの | ordinary,yet special us
2025-07-15 | 目覚めと共に | 3 | happy | しっくりくる感触 | Unsteady, still steady step
2025-09-19 | 星々を見上げて | 4 | cute | 努力家の一面 | 
2025-10-11 | 日々のルーティーン | 4 | happy | 嘘のない言葉 | 君と繋ぐHeart Beat
2025-11-30 | オススメはしょうゆラーメン | 2 | cute | たしかな手応え | 仰ぐ夜空に、星は紛れて
2025-12-31 | 陽だまりのような今を | 4 | pure | いくつもの記憶の中で | 新年言祝ぐ、祈りの舞
2026-01-03 | Happy Birthday！！2026 | bd | pure | 嬉し恥ずかし熱烈ファンサ | 
2026-02-10 | 『今』の私を響かせて | 4 | cool | トークの秘訣は？ | Path made by faith
2026-04-30 | 絵本を一緒に | 3 | cute | 楽しい飼育委員会 | あたたかな思い出を辿って
2026-05-17 | 想いと熱を込めて | 4 | mysterious | 全員参加セッション！？ | Great Yell for Dreamers！
2026-07-31 | 胸の底にわだかまるもの | 4 | cute | 今の私達なら | Echo of a Prayer
