【暁山瑞希 - カード】

名前: 暁山瑞希
カード枚数: 55

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | 『カワイイ』にこだわる自由人 | 1 | cute | 猫舌だから♪ | 
2020-09-29 | 25時、ナイトコードで。 | 2 | cool | 見てよこの出来ばえ！ | 
2020-09-29 | 譲れないこだわり | 3 | mysterious | 今日のボクもカワイイな♪ | 
2020-10-20 | 戯れのひととき | 3 | cute | 縛られたとしても…… | 囚われのマリオネット
2020-12-10 | 屋上のフレンドシップ | 4 | mysterious | 次は一緒に…… | KAMIKOU FESTIVAL！
2021-02-18 | トラスト ユー | 2 | mysterious | 頼ってくれてもいいんだよ | 満たされないペイルカラー
2021-04-11 | 気づいてしまった想い | 4 | cute | また屋上で | シークレット・ディスタンス
2021-05-10 | 想いと現実の狭間で | 4 | pure | 屋上という居場所 | お悩み聞かせて！わくわくピクニック
2021-06-21 | 迷える手を引いて | 3 | cool | みんなの温かさ | カーネーション・リコレクション
2021-07-20 | サマーナイトフェスティバル | 2 | happy | 諦めない強さを | 夏祭り、鳴り響く音は
2021-09-21 | ひとときの安息 | 4 | happy | 進むことへの怖さ | 灯のミラージュ
2021-10-31 | ハーミット・リバース | 4 | cute | 待たれる側に | ボクのあしあと キミのゆくさき
2022-01-21 | 当たり前になった打ち上げ | 4 | pure | 大切だと思える時間 | いつか、絶望の底から
2022-02-28 | メイキング・ウィズ・チルドレン | 4 | mysterious | 友のためのチョコデザイン | 怪盗紳士のハラハラ！？ホワイトデー
2022-03-20 | ３人だけの夜 | 2 | pure | 変化に寄り添って | 空白のキャンバスに描く私は
2022-05-10 | お先に失礼！ | 4 | cool | 託された炎 | 白熱！神高応援団！
2022-06-10 | 怖くないよ | 4 | cool | みんなで迎えに | 迷い子の手を引く、そのさきは
2022-08-20 | 勇気をくれたもの | 4 | cute | 『今』を届けるレター | そしていま、リボンを結んで
2022-08-26 | Happy Birthday！！ | bd | happy | あたたかくて賑やかな誕生日 | 
2022-11-20 | 弟くんにも聞いちゃおー！ | 3 | happy | 枕変わると寝られないタイプです | 願いは、いつか朝をこえて
2022-12-31 | ソリトゥスユートピア | 4 | happy | 楽園と引き換えに得るものは | 
2023-03-21 | 気晴らしショッピング | 4 | pure | あの日のように、また４人で | イミシブル・ディスコード
2023-04-30 | ボクだから言えること | 4 | cool | 今日の笑顔は誰のため | ボク達の生存逃走
2023-05-31 | 噂の彼女に思いを馳せて | 2 | cute | ターゲット確認！　出動！ | 隣に立つ、優しいあなたへ
2023-07-11 | 待ち望んだ通知 | 3 | pure | 逃げ場を案じて | 仮面の私にさよならを
2023-07-31 | 盛りつけは順調！ | 4 | mysterious | あの兄にしてこの妹あり？ | ドタバタ cafe ●REC!!
2023-08-26 | Happy Birthday！！2023 | bd | cute | 誕生日にしたいこと？ | 
2023-09-20 | ふたりで寄り道 | 4 | cool | 手作りノートのお返しに | Let's study hard！
2023-09-29 | Brand New Style | 2 | cute | 友情のキューピッド？ | 
2023-11-08 | 来てくれないとヤダ！ | 4 | happy | 息抜きしようよ♪ | 水底に影を探して
2023-12-05 | feat.ぼんぼんりぼん | 2 | mysterious | リボンって最高♪ | 
2023-12-31 | 優しさに励まされて | 4 | mysterious | ボク達のおまじない | 変わらぬあたたかさの隣で
2024-04-10 | キミに食べてほしい味 | 2 | cool | やっぱり似たものきょうだいだよね | Knowing the Unseen
2024-06-20 | 直接伝えたくて | 4 | pure | 雨の日のマイルール？ | 灯を手繰りよせて
2024-08-26 | Happy Birthday！！2024 | bd | pure | 自慢の誕生日プレゼント | 
2024-08-31 | ハッピー肝試しを目指して！ | 2 | happy | いつかは全身コーディネート♪ | わんだほら～！？な肝だめし！
2024-10-12 | 失われてしまったもの | 4 | cute | みんなとの時間 | 荊棘の道は何処へ
2024-11-30 | こぼれた想い | 4 | cool | たくさんの夢を、共に | 傷だらけの手で、私達は
