【日野森雫 - カード】

名前: 日野森雫
カード枚数: 56

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | 美貌の現役アイドル | 1 | cute | ここはどこ？ | 
2020-09-29 | MORE MORE JUMP！ | 2 | mysterious | いつか胸をはれるように | 
2020-09-29 | 華やかな現場で | 3 | happy | 私がなりたいアイドルは… | 
2020-11-19 | 私がなりたいものは | 3 | cool | 必ず４人で | ここからRE:START！
2021-01-21 | 誰でもない“この私”を | 4 | cool | ありのままの私で | Color of Myself！
2021-03-22 | にゃ～ん？ | 4 | happy | 助けになりますように | 届け！HOPEFUL STAGE♪
2021-05-21 | リラックス・タイムのお誘い | 4 | mysterious | シャル・ウィー・ブレイク？ | 頑張るあなたにBreak Time！
2021-08-10 | 秘密の交渉 | 3 | cute | あの時、できなかった歌を | ハッピー・ラブリー・エブリデイ！
2021-08-31 | あの日と同じお団子を | 4 | cute | 今度は私が支えたいの | ふたり、月うさぎ
2021-11-20 | フェニラン・ナイトデート | 2 | cute | これからもたくさんの思い出を | バディ・ファニー・スペンドタイム♪
2021-12-05 | Happy Birthday！！ | bd | cool | 仲良しな２羽の文鳥さん | 
2021-12-10 | 手作りおにぎり召し上がれ♪ | 4 | mysterious | みんなへのプレゼント | MOREMOREMakingXmas
2022-01-31 | レディ・オブ・バレンタイン | 2 | pure | 名探偵の推理力？ | 秘密の♡バレンタイン大作戦！
2022-03-11 | Feel like Magic | 4 | pure | 『想い』から生まれた衣装 | Cast Spell on You
2022-04-30 | 完成報告！ | 2 | happy | お顔の相を拝見！？ | つなぐPainful Hope
2022-05-31 | 転ばぬようあなたの手を | 4 | pure | 完璧なエスコートの秘密？ | 青空に願うユア・ハピネス！
2022-08-10 | 落ちちゃったかしら？ | 4 | cool | あなたはずっとずっとアイドル | 青空の先、輝きを追いかけて
2022-09-30 | おまんじゅうでリラックス♪ | 4 | pure | 偶然のラッキー？ | この祭に 夕闇色も
2022-10-12 | どきどきグッズ開封♪ | 3 | mysterious | 楽しい検品作業？ | 拝啓、あの頃のわたしへ
2022-11-30 | この先を見据えて | 2 | cool | じっと見つめたい情熱 | あの日の夢の、彼方向こうへ
2022-12-05 | Happy Birthday！！2022 | bd | cute | 主催はしぃちゃん♪ | 
2022-12-21 | 千射万箭の気持ちで | 4 | cute | 増えた雪ウサギの謎！？ | 弓引け、白の世界で
2023-02-10 | 不甲斐ない私からの卒業 | 4 | happy | 自分の言葉で届けた想い | ほどかれた糸のその先に
2023-04-21 | 元気いっぱい地方ロケ！ | 4 | cute | 楽しい時間もわけ合いたいから | Re-tie Friendship
2023-06-20 | お昼の勉強会 | 3 | pure | クラスメイトとの距離 | STEP by STEP！
2023-06-30 | 季節外れの細雪 | 4 | happy | たくさんの思い出とお土産を手に | 一期一会な百鬼夜行！？
2023-09-29 | Brand New Style | 2 | pure | お節介だけれど | 
2023-10-31 | 夢いざなう、てのひら | 4 | cool | 支えてくれたあなたに | その手導くぬくもりは
2023-12-05 | feat.ウィッシュミーメル | 2 | happy | 天然さんとおとぼけさん | 
2023-12-05 | Happy Birthday！！2023 | bd | mysterious | “声”で伝わるメッセージ | 
2023-12-31 | 忘るまじ昔日の蝶 | 4 | mysterious | ひと欠片も失くさぬように | 
2024-02-20 | 楽しいレイアウト作り | 2 | cool | 寂しいのはどっち？ | 刻まれた傷は、やがて
2024-05-09 | 指先が辿るもの | 4 | mysterious | ピンチをチャンスに変えて | いつか花咲くステージへ
2024-06-10 | お料理で元気をお届け♪ | 4 | cool | 保健委員のお仕事！ | Lead to shine more
2024-07-31 | とっておきのおまじない | 4 | cute | 鬼教官になりたい！ | Chase my IDEAL IDOL！
2024-08-31 | 想い込めるひと針 | 3 | mysterious | 冷たい手のひら、あたたかい心 | わんだほら～！？な肝だめし！
2024-11-10 | あなたと至福のひとときを | 4 | mysterious | ブドウの楽しい味わい方？ | また、木の葉の色づく頃に
2024-12-05 | Happy Birthday！！2024 | bd | happy | おつかいのお願い！ | 
