【箱曲】

数量: 135

---- 曲名 | アーティスト | 作詞 | 作曲 | 編曲 | 実装日 | 関連イベント | 分類 | ジャケット | 試聴音源 | 歌唱バージョン ----
potatoになっていく | Neru | Neru | Neru | Neru | 2020-11-07 | 全力！ワンダーハロウィン！ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_052/jacket_s_052.png | https://storage.sekai.best/sekai-jp-assets/music/short/0052_01/0052_01_short.mp3 | セカイver. / バーチャル・シンガーver. / バーチャル・シンガーver.
Forward | R Sound Design | R Sound Design | R Sound Design | R Sound Design | 2020-12-08 | いつか、背中あわせのリリックを | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_055/jacket_s_055.png | https://storage.sekai.best/sekai-jp-assets/music/short/0055_01/0055_01_short.mp3 | セカイver. / アナザーボーカルver. / バーチャル・シンガーver. / バーチャル・シンガーver.
ジャックポットサッドガール | syudou | syudou | syudou | syudou | 2020-10-20 | 囚われのマリオネット | original / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_062/jacket_s_062.png | https://storage.sekai.best/sekai-jp-assets/music/short/0062_01/0062_01_short.mp3 | セカイver. / バーチャル・シンガーver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
ステラ | じん | じん | じん | - | 2020-10-18 | 雨上がりの一番星 | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_064/jacket_s_064.png | https://storage.sekai.best/sekai-jp-assets/music/short/0064_01/0064_01_short.mp3 | セカイver. / アナザーボーカルver. / アナザーボーカルver. / バーチャル・シンガーver.
Color of Drops | 40mP | 40mP | 40mP | 40mP | 2021-01-29 | Color of Myself！ | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_089/jacket_s_089.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0089_01/vs_0089_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
限りなく灰色へ | すりぃ | すりぃ | すりぃ | すりぃ | 2021-02-26 | 満たされないペイルカラー | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_090/jacket_s_090.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0090_01/vs_0090_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
霽れを待つ | Orangestar | Orangestar | Orangestar | Orangestar | 2021-01-10 | 揺れるまま、でも君は前へ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_097/jacket_s_097.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0097_01/vs_0097_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
モア！ジャンプ！モア！ | ナユタン星人 | ナユタン星人 | ナユタン星人 | ナユタン星人 | 2020-11-19 | ここからRE:START！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_099/jacket_s_099.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0099_01/se_0099_01_short.mp3 | セカイver. / バーチャル・シンガーver.
RAD DOGS | 八王子P | q*Left | 八王子P | 八王子P | 2021-01-31 | Period of NOCTURNE | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_101/jacket_s_101.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0101_01/vs_0101_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
ニジイロストーリーズ | OSTER project | OSTER project | OSTER project | OSTER project | 2020-12-20 | 聖なる夜に、この歌声を | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_103/jacket_s_103.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0103_01/vs_0103_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
