【鳳えむ - 2星】

角色: 鳳えむ
分类: 2星
数量: 10

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
54 | 2020-09-29 | ワンダーランズ×ショウタイム | 2 | mysterious | フワフワがばばーんっ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no002/card_after_training.png
148 | 2020-12-20 | キラットナカチューシャ☆ | 2 | cute | みんなと初めてのクリスマス | 聖なる夜に、この歌声を | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no008/card_after_training.png
273 | 2021-08-20 | 守りたい笑顔 | 2 | happy | 家族の海の思い出 | マーメイドにあこがれて | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no012/card_after_training.png
526 | 2022-10-21 | レッツ・エチュード♪ | 2 | pure | 最後を迎えて | カーテンコールに惜別を | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no021/card_after_training.png
693 | 2023-07-31 | お姉ちゃんと一緒っ☆ | 2 | cool | 明日の“楽しい”のために | ドタバタ cafe ●REC!! | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no026/card_after_training.png
737 | 2023-09-29 | Brand New Style | 2 | cool | にこにこいっぱいクラスを目指して |  | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no030/card_after_training.png
858 | 2024-01-23 | みんなで映画鑑賞会☆ | 2 | cute | 現場での学びを糧に | 逆光のレンズフレア | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no033/card_after_training.png
1054 | 2024-12-21 | わくわく♪お菓子の町づくり！ | 2 | happy | 優しいショーのプレゼント | Special present for YOU！ | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no041/card_after_training.png
1200 | 2025-07-07 | 気になる劇団 | 2 | pure | 未来に思いを馳せて | Deeper and deeper | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no046/card_after_training.png
1367 | 2026-03-30 | はりきり応援団長 | 2 | mysterious | CMにワクワクを込めて | 残照のInside Direction | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res014_no054/card_after_training.png
