【小豆沢こはね - 新制服】

角色: 小豆沢こはね
分类: 新制服
数量: 16

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
766 | 2023-09-30 | 新しい朝に向けて | 3 | cool | 成長を実感して | ハロー・グッド・デイ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no029/card_after_training.png
769 | 2023-10-12 | 眠ってしまわないように | 4 | cute | もう少し大人になったら | BURN MY SOUL | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no030/card_after_training.png
894 | 2024-03-22 | たくさん話すね！ | 2 | cute | お父さん襲来！？ | The first concerto | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no035/card_after_training.png
1017 | 2024-10-21 | 相応しくあれるように | 4 | cool | お揃いのポーチで | Rekindle the flame | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no038/card_after_training.png
1051 | 2024-12-21 | 待ちきれないショーだから | 4 | pure | 印象は人それぞれ | Special present for YOU！ | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no039/card_after_training.png
1066 | 2025-01-11 | 精一杯のひと口 | 4 | happy | 本場のハンバーガー！ | Time to take off！ | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no040/card_after_training.png
1100 | 2025-01-21 | アメリカンスタイル？ | 3 | cute | 写真に思い出を | Show your shine | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no042/card_after_training.png
1216 | 2025-07-31 | いつか未来の私へ | 3 | pure | ただいま！ | Competitive fire！ | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no046/card_after_training.png
1285 | 2025-11-20 | 事前準備は万全に | 4 | mysterious | お疲れさまの気持ちで | Overcome one's limits | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no048/card_after_training.png
1296 | 2025-12-10 | スリリングな追いかけっこ | 4 | happy | AR写真の世界へ | ともに、トゥルールートを目指して | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no049/card_after_training.png
1313 | 2025-12-31 | 鬼の思い出は | 2 | mysterious | 写真が彩る記憶 | 新年言祝ぐ、祈りの舞 | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no050/card_after_training.png
1324 | 2026-01-21 | 再会を楽しみに | 2 | cool | 同じタイプの４人 | GO ALL OUT | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no051/card_after_training.png
1346 | 2026-02-28 | 暗い庭と好奇心 | 4 | happy | 素敵な歌にするために | 悪夢の庭を歌い明かして | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no053/card_after_training.png
1371 | 2026-04-09 | 歌詞に磨きをかけて | 3 | mysterious | 重ねて、繋がって | Show 'em what's up！ | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no054/card_after_training.png
1386 | 2026-05-08 | 知らない視線 | 4 | pure | パール伯爵に癒されて | Stay solid, No fold | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no055/card_after_training.png
1469 | 2026-09-06 | お気に入りの１枚 | 2 | happy | 歌で繋がる想い | After the Fire | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no057/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res009_no057/card_after_training.png
