【花里みのり - 4星】

角色: 花里みのり
分类: 4星
数量: 29

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
130 | 2020-11-19 | あわわわわっ！？ | 4 | cute | 新しい試み | ここからRE:START！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no005/card_after_training.png
190 | 2021-03-22 | “あなた”のために | 4 | happy | ４人分の“もっともっと” | 届け！HOPEFUL STAGE♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no007/card_after_training.png
224 | 2021-05-21 | 熱烈コール！ | 4 | mysterious | レッツ・アニマル・セラピー | 頑張るあなたにBreak Time！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no009/card_after_training.png
291 | 2021-10-01 | 仲間達からの祝福 | 4 | pure | 未熟でも、もっともっと | スクランブル・ファンフェスタ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no011/card_after_training.png
330 | 2021-12-10 | レッツ・ファンミーティング！ | 4 | mysterious | ミニライブの段取り | MOREMOREMakingXmas | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no012/card_after_training.png
392 | 2022-03-11 | 熱烈トーク！ | 4 | pure | ちょっとずつプロ意識 | Cast Spell on You | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no013/card_after_training.png
423 | 2022-04-30 | 初めての声域チェック！ | 4 | cool | MORE MORE JUMP！秘話！？ | つなぐPainful Hope | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no015/card_after_training.png
459 | 2022-06-30 | 名誉の転倒 | 4 | happy | ペンぴょんを持つべき人は | みんなでエンジョイ！スポジョイパーク | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no016/card_after_training.png
517 | 2022-10-12 | スポットライトのその先へ | 4 | cute | この親にしてこの子あり？ | 拝啓、あの頃のわたしへ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no018/card_after_training.png
530 | 2022-10-31 | 首がちぎれちゃいそう！ | 4 | mysterious | ニャンだふるな応援♪ | 絶叫！？ オオカミの森へようこそ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no019/card_after_training.png
590 | 2023-02-10 | もぐもぐTime！ | 4 | happy | 楽屋のすごしかた講座 | ほどかれた糸のその先に | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no021/card_after_training.png
664 | 2023-06-20 | 一生の宝物だよ！ | 4 | cool | 初めて会話したあの日 | STEP by STEP！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no024/card_after_training.png
763 | 2023-09-30 | 気になっちゃう背中 | 4 | cute | 同じ学校の生徒として | ハロー・グッド・デイ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no027/card_after_training.png
828 | 2023-12-10 | スカッとササッと | 4 | cool | １日飼育員のお仕事 | あっちこっち飼育員体験！ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no030/card_after_training.png
840 | 2023-12-31 | 夢は新たな夢を紡ぐ | 4 | pure | 夢で終わらせないために |  | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no031/card_after_training.png
873 | 2024-02-20 | 胸に刺さる本音 | 4 | pure | お別れじゃないよ！？ | 刻まれた傷は、やがて | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no032/card_after_training.png
921 | 2024-05-09 | 積み重ねた想いは | 4 | cute | イメージを膨らませて | いつか花咲くステージへ | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res005_no036/card_after_training.png
