【初音ミク - 4星】

角色: 初音ミク
分类: 4星
数量: 26

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
88 | 2020-09-29 | みんなにお披露目 | 4 | cute | さあ、ステージへ！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no008/card_after_training.png
116 | 2020-10-20 | 絶たれた糸 | 4 | cool | もっと見つけて | 囚われのマリオネット | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no009/card_after_training.png
126 | 2020-11-09 | レッツ・チア！ | 4 | pure | フレフレフレ♪ | 走れ！体育祭！～実行委員は大忙し～ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no010/card_after_training.png
145 | 2020-12-20 | ワンダー☆クリスマス！ | 4 | cute | 雪・ソリ・トナカイ・サンタさん！ | 聖なる夜に、この歌声を | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no011/card_after_training.png
149 | 2020-12-31 | 強者の笑み | 4 | pure | ライバルでいてほしい | セカイのハッピーニューイヤー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no012/card_after_training.png
198 | 2021-04-01 | 育ちゆく音色 | 4 | pure | ひそかな心配 | 君と歌う、桜舞う世界で | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no013/card_after_training.png
289 | 2021-10-01 | 想いが重なる場所で | 4 | mysterious | “わたし”達の想いも託して |  | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no016/card_after_training.png
298 | 2021-10-11 | 聞きたくない言葉でも | 4 | cool | 受け取った決意 | Bout for Beside You | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no017/card_after_training.png
326 | 2021-11-30 | まっすぐな歌詞 | 4 | cute | 初めての雪 | 交わる旋律 灯るぬくもり | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no018/card_after_training.png
393 | 2022-03-11 | セカイの衣装室へご案内♪ | 4 | pure | ありがとうを、ひと縫いずつ | Cast Spell on You | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no022/card_after_training.png
