【初音ミク - 特典】

角色: 初音ミク
分类: 特典
数量: 12

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
289 | 2021-10-01 | 想いが重なる場所で | 4 | mysterious | “わたし”達の想いも託して |  | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no016/card_after_training.png
404 | 2022-03-30 | 風に舞う花びらの中で | 4 | happy | あったかいお花見 | セカイの桜、つながる想い | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no023/card_after_training.png
509 | 2022-09-30 | せめて、わたしに | 4 | pure | わたしが、そばにいるよ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no028/card_after_training.png
622 | 2023-03-30 | 初めてのストリート！ | 4 | happy | もっと、みんなの力になりたくて | 交響する街の片隅で | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no033/card_after_training.png
707 | 2023-08-31 | キラキラ笑顔の魔法 | 4 | cute | 『ミク』のお話 | セカイに響け！Your Song | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no037/card_after_training.png
953 | 2024-06-30 | 扉の向こうへ | 4 | mysterious | 今はただ、ふたりで | OVER RAD SQUAD!! | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no047/card_after_training.png
979 | 2024-08-17 | 想いを託して | 4 | cool | 支え、助け合う『想い』 | キミと、セカイの始まりで | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no048/card_after_training.png
1148 | 2025-03-30 | 響く想いに包まれて | 4 | cool | みんなの先輩でいるために | Find the dream view | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no053/card_after_training.png
1182 | 2025-05-31 | 突然の危機 | 4 | cute | アメリカンブーム | Aim higher and higher！ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no055/card_after_training.png
1235 | 2025-09-06 | 約束を胸に | 4 | happy | 『わたし』への誇らしさ | Link the Beats！ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no058/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no058/card_after_training.png
1374 | 2026-04-18 | 力になれる喜び | 4 | cute | 再会を信じて | 約束のPasserelle | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no063/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no063/card_after_training.png
1419 | 2026-06-30 | ミクちゃんに密着取材！ | 4 | mysterious | てんこ盛りのライブ | アイドル・花里みのり～夢の最前線～ | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no064/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res021_no064/card_after_training.png
