【鏡音リン - 2星】

角色: 鏡音リン
分类: 2星
数量: 11

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
90 | 2020-09-29 | ステージのセカイ | 2 | happy | コソ練仲間！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no002/card_after_training.png
253 | 2021-07-09 | ポップ・アウト・セカイ | 2 | cool | 小さな冒険 | Awakening Beat | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no010/card_after_training.png
305 | 2021-10-21 | インテリシティガール | 2 | pure | セカイで大ジャンプ♪ | Revival my dream | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no012/card_after_training.png
409 | 2022-03-30 | bloomy idol♪ | 2 | cool | 桜ステージで春ライブ♪ | セカイの桜、つながる想い | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no017/card_after_training.png
532 | 2022-10-31 | レッツ・エンジョイ文化祭♪ | 2 | cute | わたし達の文化祭？ | 絶叫！？ オオカミの森へようこそ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no021/card_after_training.png
745 | 2023-09-29 | Origin Style | 2 | cool | ギャップでトーク？ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no028/card_after_training.png
756 | 2023-09-29 | Brand New Stage | 2 | mysterious | 特別特訓！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no029/card_after_training.png
837 | 2023-12-20 | セカイを描いて、彩って | 2 | mysterious | 最後まで描けたね | あの日、奏でた音色を | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no032/card_after_training.png
925 | 2024-05-09 | 謎の道、発見！？ | 2 | cute | 花畑の間違い探し？ | いつか花咲くステージへ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no035/card_after_training.png
1150 | 2025-03-30 | 緊張をほぐすおまじない | 2 | mysterious | 盛り上がってるか～！ | Find the dream view | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no046/card_after_training.png
1456 | 2026-08-29 | 風船で飾り付け♪ | 2 | cute | パーティーへの感謝を！ | Mix&Make Party Time!! | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no055/card_after_training.png
