【巡音ルカ - 新制服】

角色: 巡音ルカ
分类: 新制服
数量: 14

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
770 | 2023-10-12 | 不意の挑発 | 4 | cute | ここは共同戦線で♪ | BURN MY SOUL | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no031/card_after_training.png
830 | 2023-12-10 | 挨拶はアイドルの基本 | 4 | cool | お忍び動物園 | あっちこっち飼育員体験！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no033/card_after_training.png
865 | 2024-01-31 | セカイでフォトコンテスト！ | 2 | mysterious | 心をわしづかみにするポージング | Take the Best Shot！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no035/card_after_training.png
918 | 2024-04-30 | あなたの胸の中を | 3 | cute | どうしようもない時は | Whip the wimp girl!! | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no036/card_after_training.png
958 | 2024-07-09 | 火の見やぐらの上から | 4 | pure | 腕利きの居眠り剣士 | お縄を頂戴！？天馬捕物帳 | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no038/card_after_training.png
965 | 2024-07-17 | 始まりの場所として | 2 | cool | 先輩としての願いと想い | あの日見た夜空は、いつかの未来へ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no039/card_after_training.png
1025 | 2024-10-31 | みんなのMVを | 3 | mysterious | セカイのお疲れさま会 | Happy Enjoy Music！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no041/card_after_training.png
1052 | 2024-12-21 | 興味津々ランタン作り！ | 4 | pure | 牛乳使いきり大作戦！ | Special present for YOU！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no042/card_after_training.png
1112 | 2025-02-10 | 後悔も包み込んで | 4 | mysterious | 立ち上がることを信じて | Rise and Strive | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no045/card_after_training.png
1199 | 2025-07-07 | 目覚めを導く声 | 3 | cool | すやすやお昼寝ツアー | Deeper and deeper | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no047/card_after_training.png
1292 | 2025-11-30 | 目を伏すあなたのそばに | 3 | happy | 流星に託す願い | 仰ぐ夜空に、星は紛れて | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no050/card_after_training.png
1297 | 2025-12-10 | 浮き立つ予感 | 4 | happy | 何か企んでる？ | ともに、トゥルールートを目指して | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no051/card_after_training.png
1335 | 2026-02-10 | 最高の練習相手 | 4 | cool | テレビの影響力 | Path made by faith | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no053/card_after_training.png
1370 | 2026-04-09 | 応援の気持ちもめちゃ盛りで！ | 4 | mysterious | 美味しさの代償 | Show 'em what's up！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no054/card_after_training.png
