【巡音ルカ - 旧制服】

角色: 巡音ルカ
分类: 旧制服
数量: 22

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
97 | 2020-09-29 | クールビューティー | 1 | pure | この歌が届くように |  | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no001/card_after_training.png
98 | 2020-09-29 | 教室のセカイ | 2 | happy | 後輩のためにも |  | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no002/card_after_training.png
99 | 2020-09-29 | 導く手 | 3 | pure | 届かない距離じゃないから |  | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no003/card_after_training.png
110 | 2020-10-09 | 黄昏の雨をぬぐって | 4 | mysterious | 君に降る涙 | 雨上がりの一番星 | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no005/card_after_training.png
151 | 2020-12-31 | 雅な微笑み | 4 | pure | ４度目の正直 | セカイのハッピーニューイヤー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no006/card_after_training.png
161 | 2021-01-21 | 新メンバー登場♪ | 4 | cool | キラキラウィンク | Color of Myself！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no007/card_after_training.png
188 | 2021-03-10 | ハッピーなひな祭り♪ | 3 | cute | めーちゃん、お膝貸して？ | 天馬さんちのひな祭り | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no008/card_after_training.png
193 | 2021-03-22 | アイドルとしての心得 | 3 | mysterious | 肩の力を抜きましょう？ | 届け！HOPEFUL STAGE♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no009/card_after_training.png
221 | 2021-05-10 | フェアリーランタン♪ | 2 | mysterious | いつでもきらめく導き | お悩み聞かせて！わくわくピクニック | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no010/card_after_training.png
238 | 2021-06-21 | 私は私のやりかたで | 4 | mysterious | 本質をとらえる問い | カーネーション・リコレクション | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no011/card_after_training.png
271 | 2021-08-20 | 海に想いを馳せて | 4 | pure | スリーピング・レフェリー | マーメイドにあこがれて | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no012/card_after_training.png
320 | 2021-11-20 | 心強い言葉 | 4 | happy | 意外な怖がりさん | バディ・ファニー・スペンドタイム♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no013/card_after_training.png
344 | 2021-12-20 | 自由人参上！ | 3 | cool | 歌って♪キャンプの歌 | Same Dreams,Same Colors | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no015/card_after_training.png
420 | 2022-04-21 | 的確なアドバイス | 2 | cute | ほんの少しのきっかけを | Live with memories | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no018/card_after_training.png
430 | 2022-05-10 | カッパさんの好きな物？ | 4 | cool | 魔法の行方を見届けて | 白熱！神高応援団！ | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no019/card_after_training.png
461 | 2022-06-30 | 炎天下の応援 | 3 | happy | 駆け引き失敗？ | みんなでエンジョイ！スポジョイパーク | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no020/card_after_training.png
490 | 2022-08-20 | 待つという選択 | 2 | cool | 変化したのは…… | そしていま、リボンを結んで | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no021/card_after_training.png
553 | 2022-12-11 | 大急ぎで仲間の元へ！ | 4 | happy | 思う存分のクリスマスを♪ | Find A Way Out | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no023/card_after_training.png
599 | 2023-02-19 | ラフに、だけど豊かに響いて | 2 | cool | みんなの歌、私に聴かせて！ | Kick it up a notch | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no025/card_after_training.png
681 | 2023-07-11 | 高まる危惧 | 2 | happy | かろうじて届いた願い | 仮面の私にさよならを | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no027/card_after_training.png
747 | 2023-09-29 | Origin Style | 2 | cute | 作り手ごとの私達 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no029/card_after_training.png
755 | 2023-09-29 | Brand New Classroom | 2 | pure | 私達の始業式 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res024_no030/card_after_training.png
