【鏡音レン - 新制服】

角色: 鏡音レン
分类: 新制服
数量: 14

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
782 | 2023-10-31 | 旅先への期待 | 3 | cute | 温泉まんじゅうのヒミツ | その手導くぬくもりは | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no031/card_after_training.png
852 | 2024-01-09 | みんなの力になれるように | 2 | pure | セカイでかくれんぼ！ | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no035/card_after_training.png
905 | 2024-04-10 | 楽しそうな個展 | 4 | pure | 伝染するそわそわ | Knowing the Unseen | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no036/card_after_training.png
929 | 2024-05-23 | 一緒に特訓！ | 4 | cute | 時代劇をやってみよう！ | perspective for smile | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no037/card_after_training.png
942 | 2024-06-10 | 個性をもっと輝かせて | 2 | pure | ウォッチングTV！ | Lead to shine more | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no038/card_after_training.png
1000 | 2024-09-20 | サイダーに囲まれて | 4 | mysterious | 混ざりあって生まれるもの | This moment with you！ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no040/card_after_training.png
1036 | 2024-11-20 | エール☆フォー☆ユー！ | 4 | pure | セカイで演技コンテスト！？ | The Power Of Regret | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no041/card_after_training.png
1067 | 2025-01-11 | ビッグな朝食 | 4 | happy | 飛行機での過ごし方？ | Time to take off！ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no043/card_after_training.png
1225 | 2025-08-22 | おいしいを分け合って | 4 | happy | 『ぷれっちぇる』を一緒に | ほどけぬ明日に手を伸ばして | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no048/card_after_training.png
1287 | 2025-11-20 | 笑顔のエールを | 3 | mysterious | お気に入りの１曲 | Overcome one's limits | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no050/card_after_training.png
1302 | 2025-12-21 | ステージの知者 | 4 | cool | 成長するパフォーマンス | この物語は希望をのせて | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no051/card_after_training.png
1347 | 2026-02-28 | 指さす先にある道 | 4 | happy | 絵の中の光 | 悪夢の庭を歌い明かして | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no053/card_after_training.png
1414 | 2026-06-20 | 小さなヒーロー | 2 | mysterious | レンのリクエスト | Phantom maze monster | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no056/card_after_training.png
1437 | 2026-07-31 | その選択を見守って | 3 | pure | 本気の対バン練習 | Echo of a Prayer | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no057/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no057/card_after_training.png
