【鏡音レン - 旧制服】

角色: 鏡音レン
分类: 旧制服
数量: 24

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
93 | 2020-09-29 | はじけるパワフル！ | 1 | happy | マイクリレー！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no001/card_after_training.png
94 | 2020-09-29 | ストリートのセカイ | 2 | mysterious | DJだよ、DJ！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no002/card_after_training.png
95 | 2020-09-29 | 難しい『仲直り』 | 3 | happy | 早く話せばよかったよ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no003/card_after_training.png
96 | 2020-09-29 | 新団員登場！ | 4 | cool | 今日からボクも劇団員！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no004/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no004/card_after_training.png
150 | 2020-12-31 | 最高最強のコンビ！？ | 4 | pure | 気になるみんなのお正月 | セカイのハッピーニューイヤー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no005/card_after_training.png
169 | 2021-01-31 | センチメンタルメロディ | 2 | cute | 欠けることのない想い | Period of NOCTURNE | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no006/card_after_training.png
183 | 2021-02-28 | いっちばん得意な方法で！ | 3 | happy | ポムポムポ♪ | スマイルオブドリーマー | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no007/card_after_training.png
229 | 2021-05-31 | キラキラ好奇心☆ | 4 | cute | 感じる隠れた努力 | 純白の貴方へ、誓いの歌を！ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no008/card_after_training.png
256 | 2021-07-20 | オレのダンスシューズ！ | 4 | cool | みんなで踊ろう！ | 夏祭り、鳴り響く音は | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no009/card_after_training.png
265 | 2021-08-10 | ステージの王子様 | 4 | mysterious | 特別ライブにご招待！ | ハッピー・ラブリー・エブリデイ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no010/card_after_training.png
299 | 2021-10-11 | オレの相棒なのに | 3 | cute | 一番の相棒でいたいから | Bout for Beside You | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no011/card_after_training.png
317 | 2021-11-11 | 想いをぶつける強さ | 2 | happy | 特訓はほどほどに | 揺るがぬ想い、今言葉にして | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no012/card_after_training.png
375 | 2022-02-09 | 抑えきれない興味 | 4 | mysterious | 今から特訓！ | Legend still vivid | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no015/card_after_training.png
389 | 2022-02-28 | イノセント・スクワイア | 2 | cool | ジェスチャーで意思疎通 | 怪盗紳士のハラハラ！？ホワイトデー | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no016/card_after_training.png
447 | 2022-06-10 | 隠れぎみな挨拶と共に | 4 | cool | うきうきという気持ち | 迷い子の手を引く、そのさきは | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no018/card_after_training.png
471 | 2022-07-21 | 放課後のひととき | 4 | cute | たとえ誰にも響かなくても | No seek No find | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no019/card_after_training.png
502 | 2022-09-09 | オレ流かっこいい表現！ | 3 | cool | ロックとバイクに夜更かし、コーヒー | 好きを描いて♪レインボーキャンバス | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no020/card_after_training.png
544 | 2022-11-20 | それぞれの関わりかた | 2 | pure | 密かな見守り | 願いは、いつか朝をこえて | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no021/card_after_training.png
573 | 2023-01-10 | 楽しいがいっぱいの宝箱 | 4 | mysterious | キミを元気にするために | 夢の途中、輝く星たちへ | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no023/card_after_training.png
587 | 2023-01-31 | 形にして、贈りたい想い | 2 | cute | 一緒に選んだ香り | キャンドルの香りは思い出と共に | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no024/card_after_training.png
639 | 2023-04-30 | リボンに込めた思いやり | 3 | pure | 結んだ想い | ボク達の生存逃走 | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res023_no026/card_after_training.png
