【星乃一歌 - 特典】

角色: 星乃一歌
分类: 特典
数量: 13

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
290 | 2021-10-01 | かつて見た星空 | 4 | cool | 思い出のジャングルジム |  | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no011/card_after_training.png
325 | 2021-11-30 | CDがつなぐ出会い | 4 | cute | 作詞の先輩 | 交わる旋律 灯るぬくもり | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no013/card_after_training.png
494 | 2022-08-31 | ひらめきを待って | 4 | pure | 秘密の円陣 | Don't lose faith! | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no019/card_after_training.png
583 | 2023-01-31 | 薄闇の中の温もり | 4 | cool | ドキ・ソワ・バレンタイン | キャンドルの香りは思い出と共に | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no022/card_after_training.png
762 | 2023-09-30 | 新しいことの始まり | 4 | cute | 練習の足跡達 | ハロー・グッド・デイ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no028/card_after_training.png
879 | 2024-02-29 | 悩むふたりの前に | 4 | happy | 立役者にお礼を | リラックスティータイム | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no033/card_after_training.png
961 | 2024-07-17 | 私達の旅路 | 4 | mysterious | 不慣れを乗り越えて | あの日見た夜空は、いつかの未来へ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no035/card_after_training.png
1023 | 2024-10-31 | 普段とは違う自分で | 4 | happy | しゅわデリ・ハイスクール | Happy Enjoy Music！ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no038/card_after_training.png
1147 | 2025-03-30 | 全身全霊で届ける音 | 4 | cool | ひとつになれた声と声 | Find the dream view | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no042/card_after_training.png
1189 | 2025-06-23 | 掴めない『想い』 | 4 | pure | 想いを込めた１曲だから | ordinary,yet special us | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no043/card_after_training.png
1290 | 2025-11-30 | 『あなた』に紡ぐ言葉 | 4 | cute | 最高のステージを共に | 仰ぐ夜空に、星は紛れて | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no047/card_after_training.png
1375 | 2026-04-18 | ４人のミク達 | 4 | pure | 今こそセカイの話を | 約束のPasserelle | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no050/card_after_training.png
1434 | 2026-07-31 | 悔いのない選択 | 4 | cute | 真夜中のメッセージ | Echo of a Prayer | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no052/card_after_training.png
