【天馬司 - 3星】

角色: 天馬司
分类: 3星
数量: 10

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
51 | 2020-09-29 | 着ぐるみからこんにちは | 3 | mysterious | VSドラゴン！？ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no003/card_after_training.png
173 | 2021-02-09 | 紹介しよう！！ | 3 | cool | 宇宙すらも笑顔でいっぱい！ | 響くトワイライトパレード | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no008/card_after_training.png
304 | 2021-10-21 | 将校の危機 | 3 | happy | レッツ虫よけスプレー？ | Revival my dream | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no013/card_after_training.png
574 | 2023-01-10 | ネバーギブアップ | 3 | pure | 学びのワークショップ | 夢の途中、輝く星たちへ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no021/card_after_training.png
722 | 2023-09-20 | オレに任せろ！ | 3 | pure | 心して聞いてくれ | Let's study hard！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no027/card_after_training.png
857 | 2024-01-23 | 肉はパワーの源！ | 3 | cute | 花を愛でるにも一苦労 | 逆光のレンズフレア | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no032/card_after_training.png
1037 | 2024-11-20 | 桔梗組のレッスン | 3 | cute | 新たな挑戦と学び | The Power Of Regret | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no040/card_after_training.png
1282 | 2025-11-10 | 仲間のためにできること | 3 | happy | 感謝と労いの気持ち | 超克のプロタゴニスタ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no049/card_after_training.png
1312 | 2025-12-31 | 因縁の対決 | 3 | cool | みんなで最高のポスターを | 新年言祝ぐ、祈りの舞 | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no050/card_after_training.png
1366 | 2026-03-30 | 若者の熱きエール | 3 | mysterious | サプライズ仕掛け人 | 残照のInside Direction | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no053/card_after_training.png
