【天馬司 - 旧制服】

角色: 天馬司
分类: 旧制服
数量: 21

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
49 | 2020-09-29 | いつかはスター！ | 1 | happy | 感謝のしるしだ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no001/card_after_training.png
50 | 2020-09-29 | ワンダーランズ×ショウタイム | 2 | cute | シュッシュキレイ、ゴーゴー！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no002/card_after_training.png
51 | 2020-09-29 | 着ぐるみからこんにちは | 3 | mysterious | VSドラゴン！？ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no003/card_after_training.png
120 | 2020-10-31 | ハラハラ！？ゾンビパニック！ | 4 | happy | 座長の役目だ！ | 全力！ワンダーハロウィン！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no005/card_after_training.png
141 | 2020-12-10 | オレが主役だ！ | 4 | mysterious | 笑撃の結末 | KAMIKOU FESTIVAL！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no006/card_after_training.png
154 | 2020-12-31 | 全員参加のお正月 | 2 | pure | 掛け声だろうと全力投球！！ | セカイのハッピーニューイヤー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no007/card_after_training.png
173 | 2021-02-09 | 紹介しよう！！ | 3 | cool | 宇宙すらも笑顔でいっぱい！ | 響くトワイライトパレード | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no008/card_after_training.png
184 | 2021-02-28 | バルーンプレゼンター | 2 | happy | 怒れる自称宇宙一の兄 | スマイルオブドリーマー | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no009/card_after_training.png
186 | 2021-03-10 | お兄ちゃんの苦悩 | 4 | pure | ワクワク気分でぐっすり！ | 天馬さんちのひな祭り | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no010/card_after_training.png
232 | 2021-06-11 | 選択の行方 | 4 | cool | 次なる舞台へ！ | ワンダーマジカルショウタイム！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no011/card_after_training.png
