【東雲彰人 - 4星】

角色: 東雲彰人
分类: 4星
数量: 28

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
136 | 2020-11-30 | 相棒だから | 4 | cool | 隣で歌うために | いつか、背中あわせのリリックを | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no005/card_after_training.png
166 | 2021-01-31 | いつか来るその日を待って | 4 | mysterious | 最高の賛辞を | Period of NOCTURNE | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no006/card_after_training.png
212 | 2021-04-30 | 敗北の夜 | 4 | happy | 仲間の存在 | STRAY BAD DOG | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no007/card_after_training.png
254 | 2021-07-20 | 変わらぬ夏祭り | 4 | cool | サッカーは今も | 夏祭り、鳴り響く音は | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no009/card_after_training.png
342 | 2021-12-20 | 冬の夜の語らい | 4 | pure | 東雲家のキャンプ | Same Dreams,Same Colors | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no012/card_after_training.png
386 | 2022-02-28 | チョコ作りにも妥協なし | 4 | mysterious | こだわりのオレンジピール | 怪盗紳士のハラハラ！？ホワイトデー | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no014/card_after_training.png
434 | 2022-05-20 | 手にした熱気 | 4 | cute | 足りないものはパンケーキ？ | THE POWER OF UNITY | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no016/card_after_training.png
464 | 2022-07-11 | 朝練の一幕 | 4 | mysterious | 第１回ランニング大会！ | The Vivid Old Tale | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no017/card_after_training.png
513 | 2022-09-30 | 大歓声の熱狂を | 4 | pure | 旧友との友情 | この祭に 夕闇色も | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no020/card_after_training.png
551 | 2022-12-11 | かけてくれた言葉の理由 | 4 | happy | 見てるヤツは見てる | Find A Way Out | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no022/card_after_training.png
597 | 2023-02-19 | 作戦会議とチーズケーキ | 4 | happy | おいしい提案 | Kick it up a notch | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no024/card_after_training.png
671 | 2023-06-30 | 渇きのワンダラー | 4 | cute | 決して失えないもの |  | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no026/card_after_training.png
695 | 2023-08-10 | ザ・コーディネート中！ | 4 | pure | 明かされた真意 | On Your Feet | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no027/card_after_training.png
768 | 2023-10-12 | 炎の継承 | 4 | cute | いつか全部片づいたら | BURN MY SOUL | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no030/card_after_training.png
797 | 2023-11-30 | 演じ切る覚悟 | 4 | pure | このままクランクアップまで | 最高のクランクアップ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no032/card_after_training.png
850 | 2024-01-09 | 不屈の決意 | 4 | cute | 休憩とコーチング | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no034/card_after_training.png
898 | 2024-03-30 | 恐怖の追いかけっこ | 4 | cool | 築き上げた信頼 | Rise as ONE！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no035/card_after_training.png
952 | 2024-06-30 | 覚悟告ぐ円陣 | 4 | mysterious | 何かが起こる予兆 | OVER RAD SQUAD!! | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no037/card_after_training.png
994 | 2024-09-10 | 大会のあとは大盛りで | 4 | happy | 再びのアスレチック | 鍛えてFLY！Muscle Training！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no038/card_after_training.png
1016 | 2024-10-21 | 燻る想い | 4 | cool | こいつらと世界へ | Rekindle the flame | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no039/card_after_training.png
1059 | 2024-12-31 | 思いがけない餞別 | 4 | cute | 新年最初の運試し | Unfading wishing | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no042/card_after_training.png
1153 | 2025-04-08 | 予想外の言葉 | 4 | happy | 声に救われて | Turning Pain into Drive | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no046/card_after_training.png
1253 | 2025-09-30 | 止まらない歩み | 4 | cool | 空っぽを満たす歌 | Our Golden Days | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no049/card_after_training.png
1284 | 2025-11-20 | 搔き集めた武器で | 4 | mysterious | 仲間の想いと共に | Overcome one's limits | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no051/card_after_training.png
1328 | 2026-01-31 | 憂鬱な冒険 | 4 | cute | 勇者のポーズ | 粉砕せよ！アンヴァレンタインの復讐 | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no053/card_after_training.png
1369 | 2026-04-09 | この壁を越えるために | 4 | mysterious | まだ満足できねえ | Show 'em what's up！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no054/card_after_training.png
1387 | 2026-05-08 | ちゃんと聞いてたか？ | 4 | pure | サプライズを探しに | Stay solid, No fold | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no055/card_after_training.png
