【東雲彰人 - 特典】

角色: 東雲彰人
分类: 特典
数量: 13

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
212 | 2021-04-30 | 敗北の夜 | 4 | happy | 仲間の存在 | STRAY BAD DOG | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no007/card_after_training.png
386 | 2022-02-28 | チョコ作りにも妥協なし | 4 | mysterious | こだわりのオレンジピール | 怪盗紳士のハラハラ！？ホワイトデー | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no014/card_after_training.png
513 | 2022-09-30 | 大歓声の熱狂を | 4 | pure | 旧友との友情 | この祭に 夕闇色も | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no020/card_after_training.png
671 | 2023-06-30 | 渇きのワンダラー | 4 | cute | 決して失えないもの |  | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no026/card_after_training.png
797 | 2023-11-30 | 演じ切る覚悟 | 4 | pure | このままクランクアップまで | 最高のクランクアップ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no032/card_after_training.png
850 | 2024-01-09 | 不屈の決意 | 4 | cute | 休憩とコーチング | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no034/card_after_training.png
898 | 2024-03-30 | 恐怖の追いかけっこ | 4 | cool | 築き上げた信頼 | Rise as ONE！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no035/card_after_training.png
952 | 2024-06-30 | 覚悟告ぐ円陣 | 4 | mysterious | 何かが起こる予兆 | OVER RAD SQUAD!! | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no037/card_after_training.png
1059 | 2024-12-31 | 思いがけない餞別 | 4 | cute | 新年最初の運試し | Unfading wishing | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no042/card_after_training.png
1153 | 2025-04-08 | 予想外の言葉 | 4 | happy | 声に救われて | Turning Pain into Drive | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no046/card_after_training.png
1253 | 2025-09-30 | 止まらない歩み | 4 | cool | 空っぽを満たす歌 | Our Golden Days | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no049/card_after_training.png
1328 | 2026-01-31 | 憂鬱な冒険 | 4 | cute | 勇者のポーズ | 粉砕せよ！アンヴァレンタインの復讐 | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no053/card_after_training.png
1447 | 2026-08-17 | 背を叩く言葉 | 4 | happy | 安心するやりとり | Again And Again Ambition！ | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res011_no056/card_after_training.png
