【桃井愛莉 - 新制服】

角色: 桃井愛莉
分类: 新制服
数量: 13

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
876 | 2024-02-20 | 気配りは笑顔とともに | 3 | cool | 『夢を叶えられる人』とは | 刻まれた傷は、やがて | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no032/card_after_training.png
882 | 2024-02-29 | 言葉だけでも伝えて | 2 | happy | MORE MORE JUMP！からの贈り物 | リラックスティータイム | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no033/card_after_training.png
941 | 2024-06-10 | プロの知恵を貸し合って | 3 | happy | 上級生の威厳 | Lead to shine more | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no036/card_after_training.png
1049 | 2024-12-11 | ひとりのファンとして | 2 | cool | わたし達だけの秘密 | Grow glorious glow | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no039/card_after_training.png
1114 | 2025-02-10 | お料理配信準備中 | 2 | mysterious | 栄養たっぷり簡単レシピ | Rise and Strive | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no042/card_after_training.png
1134 | 2025-03-10 | いたずら姉妹、参上！ | 4 | mysterious | わくわくの遊園地計画 | You are my HERO!! | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no043/card_after_training.png
1174 | 2025-05-23 | 届かない苦しさ | 4 | happy | 感謝のプレゼント | Cheer with my Heart! | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no045/card_after_training.png
1210 | 2025-07-23 | 愛莉のビューティーサロン | 3 | mysterious | レッツ・モアモアツアー | start rolling! stars' crossing | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no046/card_after_training.png
1267 | 2025-10-21 | ヒヤッとドッキリ！ | 4 | mysterious | 早起きした朝に | 交わる色はあの日のままに | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no048/card_after_training.png
1301 | 2025-12-21 | 逆境だってパワーに！ | 4 | cool | 心をひとつに作戦会議 | この物語は希望をのせて | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no049/card_after_training.png
1350 | 2026-03-10 | 心からの涙を | 4 | pure | アイドルの意地 | Open up new horizons！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no050/card_after_training.png
1420 | 2026-06-30 | 全力！体操のお姉さん！ | 3 | pure | 楽しく踊ってもらうために | アイドル・花里みのり～夢の最前線～ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no053/card_after_training.png
1444 | 2026-08-09 | 考え方ひとつで | 2 | pure | ファンに見守られて | Leap Beyond The Limits！ | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res007_no054/card_after_training.png
