【白石杏 - 特典】

角色: 白石杏
分类: 特典
数量: 12

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
213 | 2021-04-30 | 仲間だから | 4 | happy | 伝説の夜への想い | STRAY BAD DOG | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no007/card_after_training.png
402 | 2022-03-30 | かつての熱狂 | 4 | cute | 同じ夢を追いかける仲間と |  | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no014/card_after_training.png
440 | 2022-05-31 | 純白に身を包んで | 4 | pure | 親達の反応 | 青空に願うユア・ハピネス！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no016/card_after_training.png
566 | 2022-12-31 | ゲレンデを照らすほどの | 4 | mysterious | 楽しむための下準備！ | 新春！ 獅子舞ロボのお正月ショー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no021/card_after_training.png
620 | 2023-03-30 | おつかい中の出会い | 4 | happy | 今はただ、歌うだけ | 交響する街の片隅で | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no023/card_after_training.png
849 | 2024-01-09 | 辿り着けなかった場所へ | 4 | pure | ここで働かせてください！！ | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no032/card_after_training.png
915 | 2024-04-30 | 決戦の時 | 4 | cool | 今日はケンカ中！ | Whip the wimp girl!! | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no034/card_after_training.png
1058 | 2024-12-31 | かけがえのない人達 | 4 | pure | 決して忘れない | Unfading wishing | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no040/card_after_training.png
1152 | 2025-04-08 | 切なさも受け止めて | 4 | cute | ひとりじゃないから | Turning Pain into Drive | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no043/card_after_training.png
1213 | 2025-07-31 | 笑顔で手を振って | 4 | happy | ライバルと競い合って | Competitive fire！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no046/card_after_training.png
1254 | 2025-09-30 | この瞬間を焼き付けて | 4 | pure | 親友との約束 | Our Golden Days | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no048/card_after_training.png
1396 | 2026-05-17 | かつての躓き | 4 | cute | 相棒歴の長さ | Great Yell for Dreamers！ | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res010_no053/card_after_training.png
