【暁山瑞希 - 旧制服】

角色: 暁山瑞希
分类: 旧制服
数量: 22

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
77 | 2020-09-29 | 『カワイイ』にこだわる自由人 | 1 | cute | 猫舌だから♪ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no001/card_after_training.png
78 | 2020-09-29 | 25時、ナイトコードで。 | 2 | cool | 見てよこの出来ばえ！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no002/card_after_training.png
79 | 2020-09-29 | 譲れないこだわり | 3 | mysterious | 今日のボクもカワイイな♪ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no003/card_after_training.png
117 | 2020-10-20 | 戯れのひととき | 3 | cute | 縛られたとしても…… | 囚われのマリオネット | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no005/card_after_training.png
139 | 2020-12-10 | 屋上のフレンドシップ | 4 | mysterious | 次は一緒に…… | KAMIKOU FESTIVAL！ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no006/card_after_training.png
179 | 2021-02-18 | トラスト ユー | 2 | mysterious | 頼ってくれてもいいんだよ | 満たされないペイルカラー | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no007/card_after_training.png
202 | 2021-04-11 | 気づいてしまった想い | 4 | cute | また屋上で | シークレット・ディスタンス | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no008/card_after_training.png
219 | 2021-05-10 | 想いと現実の狭間で | 4 | pure | 屋上という居場所 | お悩み聞かせて！わくわくピクニック | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no009/card_after_training.png
240 | 2021-06-21 | 迷える手を引いて | 3 | cool | みんなの温かさ | カーネーション・リコレクション | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no010/card_after_training.png
258 | 2021-07-20 | サマーナイトフェスティバル | 2 | happy | 諦めない強さを | 夏祭り、鳴り響く音は | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no011/card_after_training.png
285 | 2021-09-21 | ひとときの安息 | 4 | happy | 進むことへの怖さ | 灯のミラージュ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no012/card_after_training.png
363 | 2022-01-21 | 当たり前になった打ち上げ | 4 | pure | 大切だと思える時間 | いつか、絶望の底から | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no014/card_after_training.png
401 | 2022-03-20 | ３人だけの夜 | 2 | pure | 変化に寄り添って | 空白のキャンバスに描く私は | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no016/card_after_training.png
