【望月穂波 - 旧制服】

角色: 望月穂波
分类: 旧制服
数量: 23

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
9 | 2020-09-29 | みんなに優しい優等生 | 1 | mysterious | アップルパイください |  | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no001/card_after_training.png
10 | 2020-09-29 | Leo/need | 2 | cool | 変わっていかなくちゃ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no002/card_after_training.png
11 | 2020-09-29 | 味は変わらないのに | 3 | happy | 近いのに遠いわたし達 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no003/card_after_training.png
112 | 2020-10-09 | ゆっくり休んで | 3 | pure | 窓辺のエトワール | 雨上がりの一番星 | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no005/card_after_training.png
155 | 2021-01-10 | ありがとう、勇気 | 4 | happy | 揺れやすくても、壊れやすくても | 揺れるまま、でも君は前へ | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no006/card_after_training.png
172 | 2021-02-09 | 悪夢へようこそ | 4 | cute | 果たせた約束 | 響くトワイライトパレード | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no007/card_after_training.png
189 | 2021-03-10 | いけないことだけど…… | 2 | mysterious | 勇気がくれた笑顔 | 天馬さんちのひな祭り | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no008/card_after_training.png
208 | 2021-04-21 | 見えない気持ち | 4 | cool | いつか支えられるように | Resonate with you | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no009/card_after_training.png
247 | 2021-06-30 | 仲間を想うということ | 3 | cool | きっとわかってくれるよ | Unnamed Harmony | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no010/card_after_training.png
281 | 2021-09-10 | できることを探して | 4 | mysterious | 創ることへの想い | Knock the Future!! | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no012/card_after_training.png
313 | 2021-11-11 | 大切な友達だから | 4 | cool | 支えられるように | 揺るがぬ想い、今言葉にして | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no014/card_after_training.png
328 | 2021-11-30 | 大切な幼馴染みのために | 2 | pure | 約束の日を待って | 交わる旋律 灯るぬくもり | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no015/card_after_training.png
