【望月穂波 - 特典】

角色: 望月穂波
分类: 特典
数量: 13

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
259 | 2021-07-31 | 海での水泳教室 | 4 | pure | 一緒に泳げば怖くないよ | きっと最高のsummer！ | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no011/card_after_training.png
351 | 2021-12-31 | 大晦日のすごしかた | 4 | cute | ワンワンワン！？ | 祈りの先 願う明日は | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no016/card_after_training.png
456 | 2022-06-30 | 積み重ねてきた勇気 | 4 | happy | 求められていなくても |  | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no019/card_after_training.png
654 | 2023-05-31 | 感謝と祝福の鐘の下で | 4 | pure | 張り切る理由はふたりの秘密 | 隣に立つ、優しいあなたへ | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no028/card_after_training.png
899 | 2024-03-30 | もふもふ休憩タイム | 4 | cool | 思いどおりにならなくても | Rise as ONE！ | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no035/card_after_training.png
963 | 2024-07-17 | 言えなかった言葉 | 4 | happy | 強さの理想像 | あの日見た夜空は、いつかの未来へ | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no037/card_after_training.png
989 | 2024-08-31 | 肝試し第２回！？ | 4 | cool | 意外な共通点？ | わんだほら～！？な肝だめし！ | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no038/card_after_training.png
1024 | 2024-10-31 | MV撮影がんばり中 | 4 | happy | セリフは笑顔で | Happy Enjoy Music！ | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no041/card_after_training.png
1144 | 2025-03-30 | あの頃の『わたし』達 | 4 | mysterious | 怖いわたし | Find the dream view | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no044/card_after_training.png
1191 | 2025-06-23 | 未来へ想いを馳せて | 4 | mysterious | 同じ気持ちが嬉しくて | ordinary,yet special us | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no045/card_after_training.png
1291 | 2025-11-30 | お散歩中の困ったさん | 4 | cute | 画面の向こう、見えた景色 | 仰ぐ夜空に、星は紛れて | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no050/card_after_training.png
1380 | 2026-04-30 | みんながいたから | 4 | mysterious | また会えたね | あたたかな思い出を辿って | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no053/card_after_training.png
1405 | 2026-06-08 | 今度はわたしが | 4 | cute | セカイが繋いでくれたもの | Into the New Light | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res003_no054/card_after_training.png
