【東雲絵名 - 2星】

角色: 東雲絵名
分类: 2星
数量: 10

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
74 | 2020-09-29 | 25時、ナイトコードで。 | 2 | mysterious | 悪くはないかな |  | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no002/card_after_training.png
118 | 2020-10-20 | マリオネットドレス | 2 | pure | ちゃんと向き合う方法 | 囚われのマリオネット | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no005/card_after_training.png
241 | 2021-06-21 | 言葉にしてほしくて | 2 | cute | 諦めの悪さは一緒 | カーネーション・リコレクション | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no010/card_after_training.png
432 | 2022-05-10 | 体育祭の舞台裏 | 2 | happy | 垣間見えた努力 | 白熱！神高応援団！ | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no017/card_after_training.png
640 | 2023-04-30 | もどかしさと後悔と、感謝 | 2 | cool | ないしょスイーツの恩返し | ボク達の生存逃走 | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no026/card_after_training.png
742 | 2023-09-29 | Brand New Style | 2 | happy | クラス替えの思い出 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no029/card_after_training.png
937 | 2024-05-31 | 譲り受けたチケット | 2 | mysterious | 体験！リングピロー作り | みんなで配信♡WEDDING LIVE！ | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no036/card_after_training.png
1063 | 2024-12-31 | 25時の年はじめ | 2 | pure | 吉凶占う花模様 | Unfading wishing | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no041/card_after_training.png
1166 | 2025-04-30 | お揃いを手に | 2 | cute | 変わらない居場所 | そして、針は動き出す | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no045/card_after_training.png
1360 | 2026-03-20 | 珍しいふたりで | 2 | cool | 成長を感じて | Amid the Wavering Light | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no052/card_after_training.png
