【桐谷遥 - 旧制服】

角色: 桐谷遥
分类: 旧制服
数量: 21

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
21 | 2020-09-29 | 国民的アイドルだった少女 | 1 | happy | アイドルじゃない私を |  | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no001/card_after_training.png
22 | 2020-09-29 | MORE MORE JUMP！ | 2 | pure | 全部、２個ずつください |  | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no002/card_after_training.png
23 | 2020-09-29 | アイドルじゃない私 | 3 | cool | 親友がくれたやすらぎ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no003/card_after_training.png
125 | 2020-11-09 | いっぱいの祝福 | 4 | pure | エンジョイ・チア！ | 走れ！体育祭！～実行委員は大忙し～ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no005/card_after_training.png
133 | 2020-11-19 | シャボンディ・ブルー | 2 | happy | いつかわかってもらえたら…… | ここからRE:START！ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no006/card_after_training.png
163 | 2021-01-21 | アイドルの責任 | 3 | cute | 悩める仲間のために | Color of Myself！ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no007/card_after_training.png
191 | 2021-03-22 | 頑張るあなたに | 4 | happy | たくさんの初めてを一緒に | 届け！HOPEFUL STAGE♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no008/card_after_training.png
222 | 2021-05-21 | “大好き”を前に | 4 | mysterious | ウェルカム・ペンギン・カフェ | 頑張るあなたにBreak Time！ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no009/card_after_training.png
266 | 2021-08-10 | 小さなファンと一緒に | 4 | mysterious | 不可能を、可能に！ | ハッピー・ラブリー・エブリデイ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no011/card_after_training.png
321 | 2021-11-20 | ストリート系アイドル！？ | 4 | happy | プライベートな時間 | バディ・ファニー・スペンドタイム♪ | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res006_no013/card_after_training.png
