【日野森雫 - 特典】

角色: 日野森雫
分类: 特典
数量: 12

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
274 | 2021-08-31 | あの日と同じお団子を | 4 | cute | 今度は私が支えたいの | ふたり、月うさぎ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no010/card_after_training.png
441 | 2022-05-31 | 転ばぬようあなたの手を | 4 | pure | 完璧なエスコートの秘密？ | 青空に願うユア・ハピネス！ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no017/card_after_training.png
512 | 2022-09-30 | おまんじゅうでリラックス♪ | 4 | pure | 偶然のラッキー？ | この祭に 夕闇色も | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no019/card_after_training.png
673 | 2023-06-30 | 季節外れの細雪 | 4 | happy | たくさんの思い出とお土産を手に | 一期一会な百鬼夜行！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no027/card_after_training.png
779 | 2023-10-31 | 夢いざなう、てのひら | 4 | cool | 支えてくれたあなたに | その手導くぬくもりは | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no029/card_after_training.png
841 | 2023-12-31 | 忘るまじ昔日の蝶 | 4 | mysterious | ひと欠片も失くさぬように |  | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no032/card_after_training.png
924 | 2024-05-09 | 指先が辿るもの | 4 | mysterious | ピンチをチャンスに変えて | いつか花咲くステージへ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no034/card_after_training.png
970 | 2024-07-31 | とっておきのおまじない | 4 | cute | 鬼教官になりたい！ | Chase my IDEAL IDOL！ | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no036/card_after_training.png
1104 | 2025-01-31 | 糸の花に見とれて | 4 | happy | 時には穏やかな時間を | このひと針に想いを込めて | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no042/card_after_training.png
1221 | 2025-08-08 | 完璧な微笑 | 4 | pure | 思い出話に花を咲かせて | All ways Jump! with you | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no046/card_after_training.png
1361 | 2026-03-30 | 足跡をたどって | 4 | cool | 成長したがゆえの | 残照のInside Direction | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no052/card_after_training.png
1406 | 2026-06-08 | 想いをのせたワンカット | 4 | mysterious | 秘密を知って | Into the New Light | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res008_no054/card_after_training.png
