【鳳えむ - カード】

名前: 鳳えむ
カード枚数: 55

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | ハイパー★ポジティブ | 1 | pure | ゆびきりげんまん！ | 
2020-09-29 | ワンダーランズ×ショウタイム | 2 | mysterious | フワフワがばばーんっ | 
2020-09-29 | レッツ作戦会議！ | 3 | cute | 大歓迎バスター！！ | 
2020-10-31 | パンダさんに乗って | 3 | mysterious | ハロウィンわんだほい！ | 全力！ワンダーハロウィン！
2020-11-09 | 激走！アンカー☆ | 4 | pure | はじける応援 | 走れ！体育祭！～実行委員は大忙し～
2020-12-20 | キラットナカチューシャ☆ | 2 | cute | みんなと初めてのクリスマス | 聖なる夜に、この歌声を
2021-02-28 | かけがえのない笑顔 | 4 | mysterious | みんなとなら大丈夫 | スマイルオブドリーマー
2021-06-11 | 想いはひとつ | 4 | cool | 始まりは着ぐるみさんと | ワンダーマジカルショウタイム！
2021-07-31 | バーベキュー奉行！？ | 4 | pure | 思い出のおすそわけ | きっと最高のsummer！
2021-08-20 | 守りたい笑顔 | 2 | happy | 家族の海の思い出 | マーメイドにあこがれて
2021-10-21 | ジャジャジャジャーンプ！ | 4 | happy | 秘密の特訓♪ | Revival my dream
2022-01-12 | えむ隊員は調査中！ | 4 | cool | どっちもがんばるノート | POP IN MY HEART!!
2022-01-31 | サプライズ☆トゥ☆ファミリー | 4 | happy | ピニャピニャピニャータ！ | 秘密の♡バレンタイン大作戦！
2022-04-11 | ニッコリ作戦大成功！ | 3 | mysterious | 楽しいほうれんそう | まばゆい光のステージで
2022-06-20 | 嵐の前のフィッシング | 4 | happy | クルーザーで何する？ | 絶体絶命！？アイランドパニック！
2022-07-31 | おめめキラキラだね☆ | 4 | cute | 超☆感覚プレイヤー | close game/OFFLINE
2022-09-08 | Happy Birthday！！ | bd | cute | えむ隊員の大冒険！ | 
2022-09-09 | たこさんと同じ顔っ☆ | 4 | mysterious | にこにこ絵描き歌 | 好きを描いて♪レインボーキャンバス
2022-10-21 | レッツ・エチュード♪ | 2 | pure | 最後を迎えて | カーテンコールに惜別を
2023-01-10 | 瞳に映る輝き | 4 | mysterious | ハッピーエンドを迎えるために | 夢の途中、輝く星たちへ
2023-03-11 | ぐわぐわ☆アヒルチャレンジ！ | 4 | cute | 役作りの猛特訓！ | 天の果てのフェニックスへ
2023-05-20 | 夢のあとで | 3 | pure | とっておきの武器 | カナリアは窮境に歌う
2023-05-31 | オオトリ伯爵参上！ | 4 | pure | 特別ショーは大成功♪ | 隣に立つ、優しいあなたへ
2023-07-31 | お姉ちゃんと一緒っ☆ | 2 | cool | 明日の“楽しい”のために | ドタバタ cafe ●REC!!
2023-08-21 | 笑顔の世界へ | 4 | happy | いってらっしゃいといってきます | あたしたちのハッピーエンド
2023-09-08 | Happy Birthday！！2023 | bd | pure | かけがえのない場所 | 
2023-09-11 | あま～い思い出 | 3 | happy | 最強のコラボレーション | 君と紡ぐPrecious memories
2023-09-29 | Brand New Style | 2 | cool | にこにこいっぱいクラスを目指して | 
2023-11-22 | これであたしもモダンガール♪ | 3 | cool | 鳳家の団欒 | 君が主役の物語を
2023-12-05 | feat.シナモロール | 4 | cute | 笑顔を届けるドリームショー | 
2024-01-23 | みんなで映画鑑賞会☆ | 2 | cute | 現場での学びを糧に | 逆光のレンズフレア
2024-03-08 | 一緒に考えよう | 4 | cool | 目印は真っ赤なおうち？ | 星を目指して、ヨーソロー！
2024-03-30 | うたかたの再会 | 4 | mysterious | 夢の種をまく人 | 
2024-05-23 | 天下を笑う者 | 4 | cute | 生まれる時代が違えば…… | perspective for smile
2024-07-09 | 泥棒さんにご注意を！ | 3 | cool | 思い出いっぱいの打ち上げ！ | お縄を頂戴！？天馬捕物帳
2024-08-31 | あたしがにゃにゃんな妖怪です！ | 4 | cool | 俊足おばあさん！？ | わんだほら～！？な肝だめし！
2024-09-08 | Happy Birthday！！2024 | bd | happy | 探検！発見！誕生日！ | 
2024-11-20 | 夢の中でもお勉強？ | 4 | pure | キラキラシャキーンを胸に | The Power Of Regret
2024-12-21 | わくわく♪お菓子の町づくり！ | 2 | happy | 優しいショーのプレゼント | Special present for YOU！
2025-01-16 | Let's enjoy the movie！ | 2 | mysterious | 映画い～っぱい見ちゃおっ☆ | 
