【初音ミク - カード】

名前: 初音ミク
カード枚数: 66

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | 誰もが知る歌姫 | 1 | cute | 一緒に楽しもうね！ | 
2020-09-29 | 教室のセカイ | 2 | cute | なんだか頼られてる気分 | 
2020-09-29 | ステージのセカイ | 2 | cool | ポテンシャルは無限大！ | 
2020-09-29 | ストリートのセカイ | 2 | pure | 私達にも大切だから | 
2020-09-29 | ワンダーランドのセカイ | 2 | happy | 無邪気なアドリブ | 
2020-09-29 | 誰もいないセカイ | 2 | mysterious | 嬉しいはくすぐったい | 
2020-09-29 | 見守るまなざし | 3 | pure | 会いに行かなくちゃ | 
2020-09-29 | みんなにお披露目 | 4 | cute | さあ、ステージへ！ | 
2020-10-20 | 絶たれた糸 | 4 | cool | もっと見つけて | 囚われのマリオネット
2020-11-09 | レッツ・チア！ | 4 | pure | フレフレフレ♪ | 走れ！体育祭！～実行委員は大忙し～
2020-12-20 | ワンダー☆クリスマス！ | 4 | cute | 雪・ソリ・トナカイ・サンタさん！ | 聖なる夜に、この歌声を
2020-12-31 | 強者の笑み | 4 | pure | ライバルでいてほしい | セカイのハッピーニューイヤー！
2021-04-01 | 育ちゆく音色 | 4 | pure | ひそかな心配 | 君と歌う、桜舞う世界で
2021-07-31 | おっきな貝殻、どこかな？ | 3 | mysterious | サンゴ礁でこんにちは♪ | きっと最高のsummer！
2021-08-31 | 屋上での語らい | 3 | happy | 見てきたキミの姿 | ふたり、月うさぎ
2021-10-01 | 想いが重なる場所で | 4 | mysterious | “わたし”達の想いも託して | 
2021-10-11 | 聞きたくない言葉でも | 4 | cool | 受け取った決意 | Bout for Beside You
2021-11-30 | まっすぐな歌詞 | 4 | cute | 初めての雪 | 交わる旋律 灯るぬくもり
2021-12-13 | 眠りを知らぬ怠惰な未亡人 | 2 | happy | 眠らせ姫のgift | 
2021-12-31 | かるた界のトップアイドル？ | 3 | pure | 師匠、始めました！ | 祈りの先 願う明日は
2022-01-21 | 始まりの想いを見守って | 2 | cute | わたしとセカイは、いつまでも | いつか、絶望の底から
2022-03-11 | セカイの衣装室へご案内♪ | 4 | pure | ありがとうを、ひと縫いずつ | Cast Spell on You
2022-03-30 | 風に舞う花びらの中で | 4 | happy | あったかいお花見 | セカイの桜、つながる想い
2022-04-11 | 代役に挑戦！ | 2 | mysterious | 共通点を探そー！ | まばゆい光のステージで
2022-04-30 | こちょこちょはどうかな？ | 3 | cute | 原点回帰のライブを | つなぐPainful Hope
2022-07-31 | ミクミク☆ガンナー！ | 2 | cool | みんなで落書きタイム♪ | close game/OFFLINE
2022-08-30 | Happy Anniversary！！ | bd | happy | 感謝のデュエット♪ | 
2022-09-30 | せめて、わたしに | 4 | pure | わたしが、そばにいるよ | 
2022-10-21 | しょぼぼぼ～ん | 3 | cool | みんなでショーができるように | カーテンコールに惜別を
