【天馬咲希 - カード】

名前: 天馬咲希
カード枚数: 54

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | いつも明るいムードメーカー | 1 | cute | 青春しよう！ | 
2020-09-29 | Leo/need | 2 | pure | 食べすぎはぷよぷよのもと | 
2020-09-29 | やりたい100のこと | 3 | cool | 今も未来も | 
2020-10-09 | レイニー・ディスタンス | 4 | mysterious | 流星リフレイン | 雨上がりの一番星
2020-11-09 | アイアム体育祭実行委員！ | 2 | cool | アタシにできることを！ | 走れ！体育祭！～実行委員は大忙し～
2020-12-31 | 何よりも大事なお願い | 3 | cute | 冬休みの勉強会 | セカイのハッピーニューイヤー！
2021-01-10 | 陰からの応援 | 3 | mysterious | 力になりたくて | 揺れるまま、でも君は前へ
2021-03-10 | 最高のひな祭り！ | 4 | pure | 来年まで秘密 | 天馬さんちのひな祭り
2021-04-21 | 窓辺の語らい | 4 | cool | 遊ぶだけが青春じゃない | Resonate with you
2021-06-30 | 辿り着けた想い | 4 | happy | 晴れの日、きらめく音色 | Unnamed Harmony
2021-07-31 | マジックショー・アシスタント！ | 4 | pure | みんなへつなぐため | きっと最高のsummer！
2021-09-10 | クッキー・エール | 2 | mysterious | 頑張るあなたへのメッセージ | Knock the Future!!
2021-11-11 | 次のライブのために！ | 4 | cool | 新・やりたい100のこと | 揺るがぬ想い、今言葉にして
2022-01-31 | ハプニングな電話 | 4 | happy | もうひとつのサプライズ♪ | 秘密の♡バレンタイン大作戦！
2022-02-18 | 未来のスターからの教え | 3 | happy | 無理せず、いつもどおり！ | あの日、空は遠かった
2022-04-21 | サイコーにおいしい１杯！ | 4 | mysterious | アタシも、誰かに届く曲を | Live with memories
2022-05-08 | Happy Birthday！！ | bd | cute | 天馬印の感謝状♪ | 
2022-07-21 | 記憶の深淵 | 4 | cute | 雲のソフトクリーム | No seek No find
2022-08-31 | ムキムキになっちゃった！？ | 4 | pure | ほっぺはぷにぷにのままで | Don't lose faith!
2022-11-11 | 優しさに背中を預けて | 3 | pure | 撮影前夜 | Echo my melody
2023-01-21 | うとうとアートクラス | 4 | cute | 学校あるある？ | Little Bravers！
2023-02-28 | じっくりゆっくり、心を込めて | 2 | happy | 天馬家特製ビーフシチュー！ | Never Give Up Cooking！
2023-04-11 | すべて受け止める覚悟を | 4 | pure | 進んでいくという決意 | Get over it.
2023-05-08 | Happy Birthday！！2023 | bd | happy | 秘密のハッピーチョコレートケーキ♪ | 
2023-05-11 | 気分はお忍びアイドル？ | 3 | cute | お忍び変装大☆作☆戦！ | 船出の前のワンデイトリップ
2023-07-21 | みんな集まれ～！感謝ライブ！ | 2 | cute | 楽しい我が家のお夕飯！ | つなぐ、星の歌
2023-07-31 | パーテーションの陰から | 4 | mysterious | みんなで上映会！ | ドタバタ cafe ●REC!!
2023-09-11 | 思い出を抱きしめて | 4 | happy | 一番叶えたいこと | 君と紡ぐPrecious memories
2023-09-29 | Brand New Style | 2 | cute | オノマトペ会話？ | 
2023-10-22 | 楽しみでいっぱい♪ | 2 | mysterious | 今が音楽になって | Stick to your faith
2023-12-05 | feat.ポムポムプリン | 4 | cool | 友情の音を響かせて | 
2023-12-31 | １年の感謝を込めて | 2 | cool | 元気の無限ループ！！ | 変わらぬあたたかさの隣で
2024-02-10 | リーダーにしてほしいこと？ | 2 | pure | あったかもしれない未来 | 導く勇気、優しさを胸に
2024-03-30 | 空へはばたく祈り | 4 | cute | 自由の庭 | 
2024-04-20 | ひとりになった部屋 | 4 | happy | おいしく楽しく恩返し♪ | Parallel Harmonies
2024-05-08 | Happy Birthday！！2024 | bd | mysterious | 青春色のサプライズ | 
2024-07-17 | ４人一緒だから | 4 | cool | 積み重ねてきた一歩 | あの日見た夜空は、いつかの未来へ
2024-08-09 | 懐かしの連弾 | 2 | happy | もしもあなたがいなかったら | 鳴らせビューティフルサウンド！
2024-09-20 | あの日の憧れ | 4 | mysterious | 青春のことならお任せ♪ | This moment with you！
2024-10-31 | 楽しくて、幸せな音楽 | 4 | happy | 持ち物チェックは忘れずに | Happy Enjoy Music！
2024-11-10 | 寝顔も寝言も | 3 | pure | 秋の魅力は数知れず | また、木の葉の色づく頃に
2025-01-16 | Let's enjoy the movie！ | 2 | pure | ナチョス、わけ合いっこしようね♪ | 
2025-01-21 | あふれる感謝！ | 4 | cool | 理想のコーディネート | Show your shine
2025-02-28 | 難航！企画会議 | 4 | pure | 想いを届けるメッセージ | Connect hearts message
2025-03-30 | 夢みたいに楽しい時間を | 3 | mysterious | みんなで褒め褒め大会♪ | Find the dream view
2025-05-08 | Happy Birthday！！2025 | bd | pure | おめでとうスタンプを集めて | 
2025-06-23 | エースプレイヤー！ | 4 | cute | みんなとの時間をもっと大事に | ordinary,yet special us
2025-09-30 | ラッキー・アイス！ | 4 | pure | わくわくを鞄に詰め込んで | Our Golden Days
2025-10-11 | 想いをキャッチするために！ | 2 | happy | バズらせよう大作戦 | 君と繋ぐHeart Beat
2025-11-30 | 夜風さらう本音 | 4 | cute | グッズの魅力をお届け♪ | 仰ぐ夜空に、星は紛れて
2026-02-10 | 名プロデューサー参上！ | 4 | cool | 手紙に詰まった想い | Path made by faith
2026-04-30 | まさかの遭遇！ | 4 | mysterious | クールに決めて | あたたかな思い出を辿って
2026-05-04 | Happy Birthday！！2026 | bd | cool | 伝えたいのは、いつだって | 
2026-07-19 | あの日の諦め | 4 | cool | ちょっとした息抜きに | 君の隣、君と見る明日
