【白石杏 - カード】

名前: 白石杏
カード枚数: 55

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | カリスマシンガー | 1 | cute | 幽霊なんていないから！ | 
2020-09-29 | Vivid BAD SQUAD | 2 | cool | 私のオススメ！ | 
2020-09-29 | 絶賛、手伝い中！ | 3 | pure | いらっしゃい！ | 
2020-11-30 | 相棒なのに | 4 | cool | 信じる力 | いつか、背中あわせのリリックを
2021-01-31 | 寄り添う想い | 4 | mysterious | プレシャスファム！ | Period of NOCTURNE
2021-04-30 | 仲間だから | 4 | happy | 伝説の夜への想い | STRAY BAD DOG
2021-05-31 | 飛び入りダンサー | 2 | happy | いつか私達の手で | 純白の貴方へ、誓いの歌を！
2021-07-09 | 相棒に伝える言葉 | 4 | cute | 絶対の信頼 | Awakening Beat
2021-10-11 | オーバー・ザ・フェンス | 4 | cool | 心を決めて | Bout for Beside You
2021-11-20 | ワクワク最高潮！ | 3 | mysterious | デートのお相手は？ | バディ・ファニー・スペンドタイム♪
2021-12-20 | みんなでBBQ♪ | 4 | pure | 帰ったあとも遠足だよ！ | Same Dreams,Same Colors
2022-02-09 | これから開店！ | 3 | cute | 迷っても、前へ！ | Legend still vivid
2022-03-30 | かつての熱狂 | 4 | cute | 同じ夢を追いかける仲間と | 
2022-05-20 | ほんの少しの悔しさ | 2 | pure | 譲れない熱 | THE POWER OF UNITY
2022-05-31 | 純白に身を包んで | 4 | pure | 親達の反応 | 青空に願うユア・ハピネス！
2022-07-11 | 優しい記憶 | 4 | mysterious | RADderのケンカ事情？ | The Vivid Old Tale
2022-07-25 | Happy Birthday！！ | bd | pure | 家族みたいなものだから | 
2022-09-20 | ニュアンスランゲージ | 3 | cool | この歌だからこその情熱を | Walk on and on
2022-12-11 | 限定メニューアンケート！ | 2 | mysterious | WEEKEND GARAGEのクリスマス | Find A Way Out
2022-12-31 | ゲレンデを照らすほどの | 4 | mysterious | 楽しむための下準備！ | 新春！ 獅子舞ロボのお正月ショー！
2023-02-19 | 見上げた先の景色 | 4 | happy | 君と並んで歩いていたい | Kick it up a notch
2023-03-30 | おつかい中の出会い | 4 | happy | 今はただ、歌うだけ | 交響する街の片隅で
2023-06-10 | あふれ出す想いと | 4 | cute | その涙は花となり | Light Up the Fire
2023-07-25 | Happy Birthday！！2023 | bd | cool | 親友からのメッセージ | 
2023-08-10 | たまにはこんな日も | 3 | happy | 練習予想大会？ | On Your Feet
2023-09-20 | 笑顔も花丸！ | 4 | cool | もう我慢できない！ | Let's study hard！
2023-09-29 | Brand New Style | 2 | cute | 一緒にお昼を | 
2023-10-12 | 車に乗って！ | 2 | pure | 白石家へようこそ！ | BURN MY SOUL
2023-11-30 | 脚本のお手伝い | 3 | mysterious | 上映会スタート！ | 最高のクランクアップ！
2023-12-05 | feat.ルロロマニック | 2 | cool | イタズラしちゃうよ？ | 
2024-01-09 | 辿り着けなかった場所へ | 4 | pure | ここで働かせてください！！ | BREAK DOWN THE WALL
2024-03-22 | 夜道を揺られて | 4 | happy | よろしくね、先生！ | The first concerto
2024-04-30 | 決戦の時 | 4 | cool | 今日はケンカ中！ | Whip the wimp girl!!
2024-06-30 | あなたに話したいこと | 3 | happy | みんな覚悟してよ！ | OVER RAD SQUAD!!
2024-07-25 | Happy Birthday！！2024 | bd | mysterious | 路上から始まるサプライズ | 
2024-08-09 | 笑顔は標準装備で | 4 | mysterious | ちょうどいい距離感 | 鳴らせビューティフルサウンド！
2024-09-10 | 決して後悔のないように | 2 | mysterious | 呪われたリンとレン？ | 鍛えてFLY！Muscle Training！
2024-10-21 | 目指せ、英語マスター！ | 4 | cool | 悪夢にも負けず | Rekindle the flame
2024-12-31 | かけがえのない人達 | 4 | pure | 決して忘れない | Unfading wishing
2025-01-11 | トラブルの裏で | 2 | cute | 高まるモチベーション！ | Time to take off！
2025-01-16 | Let's enjoy the movie！ | 2 | happy | おまたせ！映画楽しみだね！ | 
2025-04-08 | 切なさも受け止めて | 4 | cute | ひとりじゃないから | Turning Pain into Drive
2025-05-31 | ワクワクとそわそわ | 2 | cool | 大きな声でイエーイ！ | Aim higher and higher！
2025-07-25 | Happy Birthday！！2025 | bd | happy | セカイに歌声を響かせて | 
2025-07-31 | 笑顔で手を振って | 4 | happy | ライバルと競い合って | Competitive fire！
2025-09-19 | feat.メロディっち | 2 | mysterious | ハッピーアンサンブル！ | 
2025-09-30 | この瞬間を焼き付けて | 4 | pure | 親友との約束 | Our Golden Days
2025-11-20 | 電話越しの相談 | 4 | mysterious | 応援を込めたメッセージ | Overcome one's limits
2026-01-21 | 写真立ての中の面影 | 4 | pure | 心にめぐる熱 | GO ALL OUT
2026-04-09 | 垣間見えた牙 | 4 | mysterious | 応援を背に受けて | Show 'em what's up！
2026-05-08 | 何メートルあるの！？ | 3 | pure | 楽しませてあげる！ | Stay solid, No fold
2026-05-17 | かつての躓き | 4 | cute | 相棒歴の長さ | Great Yell for Dreamers！
2026-07-21 | Happy Birthday！！2026 | bd | cute | 最高のニューヨークツアー！ | 
2026-09-03 | PaⅢ.SENSATION | 4 | cute | 理解を通り越して | 
2026-09-06 | 交流は折り紙で！ | 3 | cool | 想像できない味 | After the Fire
