【Momoi Airi - 4Star】

Character: Momoi Airi
Category: 4Star
Count: 22

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
129 | 2022-01-17 | Always Looking Ahead | 4 | cute | In Order To Be Ourselves! | Time to RE:START! | https://storage.sekai.best/sekai-en-assets/character/member/res007_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no005/card_after_training.png
162 | 2022-02-26 | Sweet Moment | 4 | cool | Sore Loser? | My Color! | https://storage.sekai.best/sekai-en-assets/character/member/res007_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no006/card_after_training.png
218 | 2022-05-25 | Unyielding Indomitable Spirit | 4 | pure | Repaying My Best Friend | What's on your mind? Exciting Picnic! | https://storage.sekai.best/sekai-en-assets/character/member/res007_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no008/card_after_training.png
243 | 2022-07-04 | To You Who Wants To Be An Idol | 4 | happy | A Promise To Myself |  | https://storage.sekai.best/sekai-en-assets/character/member/res007_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no010/card_after_training.png
264 | 2022-08-10 | Full Power! Happy Everyday! | 4 | mysterious | What I Gave Them | Happy Lovely Everyday! | https://storage.sekai.best/sekai-en-assets/character/member/res007_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no012/card_after_training.png
331 | 2022-12-10 | Together With Our Fans! | 4 | mysterious | A Happy Debrief | MORE MORE Making Christmas | https://storage.sekai.best/sekai-en-assets/character/member/res007_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no013/card_after_training.png
368 | 2023-01-31 | Baking Sweets In Secret | 4 | happy | Allies Forever! | Secret Operation Valentine's Day | https://storage.sekai.best/sekai-en-assets/character/member/res007_no014/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no014/card_after_training.png
481 | 2023-08-10 | The Strongest Idol Smile! | 4 | cool | A Soothing Foot Massage? | Chasing The Sparkle Beyond the Blue Sky | https://storage.sekai.best/sekai-en-assets/character/member/res007_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no018/card_after_training.png
519 | 2023-10-11 | Solo Show Strategy Meeting! | 4 | cute | Pulling Off The Best Solo Show | Dear Me, From Back Then | https://storage.sekai.best/sekai-en-assets/character/member/res007_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no019/card_after_training.png
546 | 2023-11-30 | Many Feelings Delivered | 4 | pure | Show Exactly Who We Are! | Beyond The Dream of That Day | https://storage.sekai.best/sekai-en-assets/character/member/res007_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no020/card_after_training.png
591 | 2024-02-10 | Don't Push Yourself | 4 | happy | Unwavering Admiration | At The End of The Unraveled Thread | https://storage.sekai.best/sekai-en-assets/character/member/res007_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no022/card_after_training.png
630 | 2024-04-21 | Growing Distance | 4 | cute | Promised With Unchanging Feelings | Friendship Rebuilt | https://storage.sekai.best/sekai-en-assets/character/member/res007_no024/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no024/card_after_training.png
665 | 2024-06-20 | For A Bigger, Better Stream | 4 | cool | Fellow Dream Chasers | Step by Step! | https://storage.sekai.best/sekai-en-assets/character/member/res007_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no025/card_after_training.png
689 | 2024-07-31 | Happy Snacker! | 4 | mysterious | Shopping Trip For Two♪ | Bustling Cafe ●REC! | https://storage.sekai.best/sekai-en-assets/character/member/res007_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no027/card_after_training.png
781 | 2024-10-31 | Special Free Time Snapshot! | 4 | cool | Thoughtful Moment | The Warmth of a Guiding Hand | https://storage.sekai.best/sekai-en-assets/character/member/res007_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no030/card_after_training.png
923 | 2025-05-09 | An Ordinary Moment | 4 | happy | My Idea Of An Idol | To One Day Reach that Flowery Stage | https://storage.sekai.best/sekai-en-assets/character/member/res007_no035/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no035/card_after_training.png
968 | 2025-07-31 | Shine On Me | 4 | cute | Hungry For Opportunity | Chase My Ideal Idol! | https://storage.sekai.best/sekai-en-assets/character/member/res007_no037/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no037/card_after_training.png
1007 | 2025-09-30 | A Song Of Courage | 4 | pure | Feelings About Costumes | Here on Our Dream Stage | https://storage.sekai.best/sekai-en-assets/character/member/res007_no038/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no038/card_after_training.png
1060 | 2025-12-31 | We're Matching♥ | 4 | cute | Blazing Variety Show Heart | Unfading Wishing | https://storage.sekai.best/sekai-en-assets/character/member/res007_no040/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res007_no040/card_after_training.png
