【Yoisaki Kanade - 4Star】

Character: Yoisaki Kanade
Category: 4Star
Count: 24

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
115 | 2021-12-16 | Lifelike | 4 | cool | After Strife Comes... | Imprisoned Marionette | https://storage.sekai.best/sekai-en-assets/character/member/res017_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no005/card_after_training.png
177 | 2022-03-22 | From Feeling To Melody | 4 | happy | Not Unwanted | Insatiable Pale Color | https://storage.sekai.best/sekai-en-assets/character/member/res017_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no006/card_after_training.png
195 | 2022-06-07 | The Dream I Saw Will One Day | 4 | mysterious | The Spark That Lights The Dark |  | https://storage.sekai.best/sekai-en-assets/character/member/res017_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no007/card_after_training.png
237 | 2022-06-26 | Flowerbed of Memories | 4 | mysterious | Flower Therapy | Carnation Recollection | https://storage.sekai.best/sekai-en-assets/character/member/res017_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no010/card_after_training.png
309 | 2022-10-28 | What The Hanged Girl Saw | 4 | cute | The Genius's Ears | What lies behind. What lies ahead. | https://storage.sekai.best/sekai-en-assets/character/member/res017_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no013/card_after_training.png
361 | 2023-01-21 | Faintly Glowing Elpis | 4 | pure | Even From Now On, As Four | Someday, From the Depths of Despair | https://storage.sekai.best/sekai-en-assets/character/member/res017_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no015/card_after_training.png
398 | 2023-03-20 | When The Sound Becomes Clear | 4 | cool | Rely On Me Whenever | On This Blank Canvas, I Paint | https://storage.sekai.best/sekai-en-assets/character/member/res017_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no017/card_after_training.png
458 | 2023-06-30 | With This Pitch...! | 4 | happy | A Fast-Flowing Conversation | Let's Enjoy Together! SpoJoy Park | https://storage.sekai.best/sekai-en-assets/character/member/res017_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no019/card_after_training.png
487 | 2023-08-20 | Squinting At The Sunlight | 4 | cute | First Time Cafe Work | And Now, I Wear This Ribbon | https://storage.sekai.best/sekai-en-assets/character/member/res017_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no020/card_after_training.png
541 | 2023-11-20 | The Best Specialty Shop In Town | 4 | mysterious | The Difference Between Then And Now | Hope Will Someday Go Beyond the Morning | https://storage.sekai.best/sekai-en-assets/character/member/res017_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res017_no022/card_after_training.png
