【Kagamine Len - 4Star】

Character: Kagamine Len
Category: 4Star
Count: 24

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
96 | 2021-12-07 | New Troupe Member! | 4 | cool | Part Of The Troupe From Now On! |  | https://storage.sekai.best/sekai-en-assets/character/member/res023_no004/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no004/card_after_training.png
150 | 2022-02-10 | Absolute Strongest Duo?! | 4 | pure | Worried About New Year's | SEKAI Happy New Year! | https://storage.sekai.best/sekai-en-assets/character/member/res023_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no005/card_after_training.png
229 | 2022-06-10 | Sparkling Curiosity☆ | 4 | cute | Unseen Efforts That Pay Off | An Ode for the Pure of Heart | https://storage.sekai.best/sekai-en-assets/character/member/res023_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no008/card_after_training.png
256 | 2022-07-21 | My Dancing Shoes! | 4 | cool | Let's All Dance Together! | The Sounds of a Summer Festival! | https://storage.sekai.best/sekai-en-assets/character/member/res023_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no009/card_after_training.png
265 | 2022-08-10 | Prince Of The Stage | 4 | mysterious | Special Performance Invite! | Happy Lovely Everyday! | https://storage.sekai.best/sekai-en-assets/character/member/res023_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no010/card_after_training.png
375 | 2023-02-09 | Uncontrollable Curiosity | 4 | mysterious | Special Training, Right Now! | The Legend Still Vivid | https://storage.sekai.best/sekai-en-assets/character/member/res023_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no015/card_after_training.png
405 | 2023-03-30 | Surrounded By Spring-Colored Sweets | 4 | happy | Let's Find The Best Spot! | Connected Through SEKAI's Cherry Blossoms | https://storage.sekai.best/sekai-en-assets/character/member/res023_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no017/card_after_training.png
447 | 2023-06-10 | Shyly Greeting While Hiding | 4 | cool | That Cheery Feeling | What Lies Beyond Guiding a Lost Child | https://storage.sekai.best/sekai-en-assets/character/member/res023_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no018/card_after_training.png
471 | 2023-07-21 | A Moment After School | 4 | cute | Even If It Reaches No One | No seek No find | https://storage.sekai.best/sekai-en-assets/character/member/res023_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no019/card_after_training.png
573 | 2024-01-10 | A Treasure Chest Of Fun | 4 | mysterious | To Cheer You Up | To The Gleaming Stars Halfway Through a Dream | https://storage.sekai.best/sekai-en-assets/character/member/res023_no023/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res023_no023/card_after_training.png
