【Asahina Mafuyu - Special】

Character: Asahina Mafuyu
Category: Special
Count: 10

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
196 | 2022-06-07 | Dive Into Me | 4 | pure | Touching Knowledge |  | https://storage.sekai.best/sekai-en-assets/character/member/res018_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no008/card_after_training.png
324 | 2022-11-29 | Under The First Snow | 4 | cute | What Miku Means To Me | The Warmth of Intersecting Melodies | https://storage.sekai.best/sekai-en-assets/character/member/res018_no014/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no014/card_after_training.png
511 | 2023-09-30 | Gentle Magic Words | 4 | pure | Eating Crepes Together | At This Festival Bathed in Twilight | https://storage.sekai.best/sekai-en-assets/character/member/res018_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no020/card_after_training.png
637 | 2024-04-30 | Walls Closing In | 4 | cool | Late Nights, But Alone | We Escape to Survive | https://storage.sekai.best/sekai-en-assets/character/member/res018_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no025/card_after_training.png
786 | 2024-11-08 | Like A Heart In My Hands | 4 | mysterious | A Hot Meal | Searching for Sunken Shadows | https://storage.sekai.best/sekai-en-assets/character/member/res018_no029/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no029/card_after_training.png
880 | 2025-02-28 | Bubbles Of Solace | 4 | happy | Lingering, Fleeting Feelings | Relaxing Tea Time | https://storage.sekai.best/sekai-en-assets/character/member/res018_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no034/card_after_training.png
988 | 2025-08-31 | Cat-Eared Guide | 4 | cool | Another Participant | Wonderhorror?! A Test of Courage! | https://storage.sekai.best/sekai-en-assets/character/member/res018_no038/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no038/card_after_training.png
1105 | 2026-01-31 | In A Silent Library | 4 | happy | To Show Appreciation | Warmth in Every Stitch | https://storage.sekai.best/sekai-en-assets/character/member/res018_no043/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no043/card_after_training.png
1162 | 2026-04-30 | A Period Of Warmth | 4 | mysterious | Here In Spirit | The Stopped Hand Moves Once More | https://storage.sekai.best/sekai-en-assets/character/member/res018_no045/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no045/card_after_training.png
1186 | 2026-06-09 | A Pair Of Smiles | 4 | cute | Putting The Pieces Together | In an Ephemeral Embrace | https://storage.sekai.best/sekai-en-assets/character/member/res018_no046/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res018_no046/card_after_training.png
