【Hatsune Miku - 4Star】

Character: Hatsune Miku
Category: 4Star
Count: 23

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
88 | 2021-12-07 | The Big Debut | 4 | cute | To The Stage! |  | https://storage.sekai.best/sekai-en-assets/character/member/res021_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no008/card_after_training.png
116 | 2021-12-16 | Severed Thread | 4 | cool | Discover More | Imprisoned Marionette | https://storage.sekai.best/sekai-en-assets/character/member/res021_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no009/card_after_training.png
126 | 2022-01-09 | Time To Cheer! | 4 | pure | Go! Go! Go♪ | Run! Sports Festival! Committee Rush | https://storage.sekai.best/sekai-en-assets/character/member/res021_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no010/card_after_training.png
145 | 2022-02-02 | Wonder☆Christmas | 4 | cute | Snow, Sleigh, Reindeer, Santa! | On This Holy Night, I Sing | https://storage.sekai.best/sekai-en-assets/character/member/res021_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no011/card_after_training.png
149 | 2022-02-10 | Powerful Smile | 4 | pure | Be My Rival | SEKAI Happy New Year! | https://storage.sekai.best/sekai-en-assets/character/member/res021_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no012/card_after_training.png
198 | 2022-04-23 | An Evolving Tone | 4 | pure | Secretly Concerned | Singing Among the Cherry Blossoms | https://storage.sekai.best/sekai-en-assets/character/member/res021_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no013/card_after_training.png
289 | 2022-10-01 | Where Feelings Come Together | 4 | mysterious | Our Feelings In Your Hands |  | https://storage.sekai.best/sekai-en-assets/character/member/res021_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no016/card_after_training.png
298 | 2022-10-14 | Even What You Don't Want To Hear | 4 | cool | Challenge Accepted | Bout for Beside You | https://storage.sekai.best/sekai-en-assets/character/member/res021_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no017/card_after_training.png
326 | 2022-11-29 | Straightforward Lyrics | 4 | cute | The First Snow | The Warmth of Intersecting Melodies | https://storage.sekai.best/sekai-en-assets/character/member/res021_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no018/card_after_training.png
393 | 2023-03-11 | The SEKAI Dressing Room Is This Way♪ | 4 | pure | Gratitude Within Each Stitch | Cast a Spell on You | https://storage.sekai.best/sekai-en-assets/character/member/res021_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no022/card_after_training.png
404 | 2023-03-30 | Among The Petals Dancing In The Wind | 4 | happy | Cherry Blossoms Filled With Warmth | Connected Through SEKAI's Cherry Blossoms | https://storage.sekai.best/sekai-en-assets/character/member/res021_no023/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no023/card_after_training.png
509 | 2023-09-30 | At Least Let Me | 4 | pure | I'm By Your Side |  | https://storage.sekai.best/sekai-en-assets/character/member/res021_no028/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no028/card_after_training.png
537 | 2023-11-10 | Voices In Unison | 4 | happy | May This Song Reach You | Echo My Melody | https://storage.sekai.best/sekai-en-assets/character/member/res021_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no030/card_after_training.png
622 | 2024-03-30 | Intro To Street Music | 4 | happy | Wanting To Help More | In This Singing City | https://storage.sekai.best/sekai-en-assets/character/member/res021_no033/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no033/card_after_training.png
644 | 2024-05-11 | Yokohama? I Predict Good Food♪ | 4 | mysterious | Curry! Castella! Crepes! | One Small Trip Before a Big Journey | https://storage.sekai.best/sekai-en-assets/character/member/res021_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no034/card_after_training.png
707 | 2024-08-31 | Shiny Smiley Magic | 4 | cute | A Miku Story | Let SEKAI Hear Your Song! | https://storage.sekai.best/sekai-en-assets/character/member/res021_no037/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no037/card_after_training.png
875 | 2025-02-20 | Marks With A Message | 4 | pure | A Packing Spectator's Tour! | From the Marks Left Behind | https://storage.sekai.best/sekai-en-assets/character/member/res021_no046/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no046/card_after_training.png
953 | 2025-06-30 | Beyond That Door | 4 | mysterious | Just Us, Together | Over Rad Squad!! | https://storage.sekai.best/sekai-en-assets/character/member/res021_no047/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no047/card_after_training.png
979 | 2025-08-17 | Entrusted Feelings | 4 | cool | Feelings Of Support | With You at SEKAI's Beginnings | https://storage.sekai.best/sekai-en-assets/character/member/res021_no048/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no048/card_after_training.png
1047 | 2025-12-11 | That Glint In Your Eye | 4 | happy | Picking The Best Gifts | Grow Glorious Glow | https://storage.sekai.best/sekai-en-assets/character/member/res021_no050/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no050/card_after_training.png
1148 | 2026-03-30 | Wrapped Up In Your Emotions | 4 | cool | To Be Everyone's Senior | Find the Dream View | https://storage.sekai.best/sekai-en-assets/character/member/res021_no053/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no053/card_after_training.png
1182 | 2026-05-31 | An Imminent Threat | 4 | cute | A Taste Of America | Aim Higher and Higher! | https://storage.sekai.best/sekai-en-assets/character/member/res021_no055/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no055/card_after_training.png
1235 | 2026-09-06 | A Precious Promise | 4 | happy | Proud Of "Myself" | Link the Beats! | https://storage.sekai.best/sekai-en-assets/character/member/res021_no058/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res021_no058/card_after_training.png
