【Kagamine Rin - 4Star】

Character: Kagamine Rin
Category: 4Star
Count: 22

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
92 | 2021-12-07 | Heated Argument | 4 | pure | Cuz' It's A Secret |  | https://storage.sekai.best/sekai-en-assets/character/member/res022_no004/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no004/card_after_training.png
131 | 2022-01-17 | All To See You Smile | 4 | cute | Shining Rainbow♪ | Time to RE:START! | https://storage.sekai.best/sekai-en-assets/character/member/res022_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no005/card_after_training.png
171 | 2022-03-14 | Cupid Of Friendship | 4 | cute | Smile, Smile! | Musical Twilight Parade | https://storage.sekai.best/sekai-en-assets/character/member/res022_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no006/card_after_training.png
245 | 2022-07-04 | A Tomboyish Melody | 4 | happy | I Wanted To See You Smile | Unnamed Harmony | https://storage.sekai.best/sekai-en-assets/character/member/res022_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no009/card_after_training.png
286 | 2022-09-20 | The Girl From The Album | 4 | happy | A Soothing Lullaby | Mirage of Light | https://storage.sekai.best/sekai-en-assets/character/member/res022_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no011/card_after_training.png
399 | 2023-03-20 | Sending My Singing Voice | 4 | cool | I Don't Want Her To Suffer, But... | On This Blank Canvas, I Paint | https://storage.sekai.best/sekai-en-assets/character/member/res022_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no016/card_after_training.png
424 | 2023-04-30 | You Can Rely On Me More♪ | 4 | cool | Let's Go Shopping! | Tied By Painful Hope | https://storage.sekai.best/sekai-en-assets/character/member/res022_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no018/card_after_training.png
465 | 2023-07-11 | Be Quiet During The Movie! | 4 | mysterious | To Feel The Atmosphere | The Vivid Old Tale | https://storage.sekai.best/sekai-en-assets/character/member/res022_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no019/card_after_training.png
567 | 2023-12-31 | Playing Tag With Lion Dance Robot | 4 | mysterious | A New Friend | Happy New Year! Lion Dance Robot's New Year's Show! | https://storage.sekai.best/sekai-en-assets/character/member/res022_no023/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no023/card_after_training.png
617 | 2024-03-30 | A Bridge To Mend Your Bond | 4 | cool | Brought Together By SEKAI |  | https://storage.sekai.best/sekai-en-assets/character/member/res022_no024/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no024/card_after_training.png
