【Kagamine Rin - New Uniform】

Character: Kagamine Rin
Category: New Uniform
Count: 16

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
532 | 2023-10-31 | Let's Enjoy The School Festival♪ | 2 | cute | Our Own School Festival? | Screaming?! Welcome to the Forest of Wolves! | https://storage.sekai.best/sekai-en-assets/character/member/res022_no021/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no021/card_after_training.png
657 | 2024-05-31 | Mission Accomplished! High Five! | 3 | mysterious | A Vow Of Friendship! | To You, My Caring Companion | https://storage.sekai.best/sekai-en-assets/character/member/res022_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no025/card_after_training.png
661 | 2024-06-10 | Leave It To Us! | 4 | cute | Watching From The Wings | Light Up the Fire | https://storage.sekai.best/sekai-en-assets/character/member/res022_no026/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no026/card_after_training.png
745 | 2024-09-30 | Original Style | 2 | cool | Minding The Gap |  | https://storage.sekai.best/sekai-en-assets/character/member/res022_no028/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no028/card_after_training.png
756 | 2024-09-30 | Brand New Stage | 2 | mysterious | Super Special Training |  | https://storage.sekai.best/sekai-en-assets/character/member/res022_no029/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no029/card_after_training.png
775 | 2024-10-22 | Share Your Memories | 4 | pure | Like A Big Sister♪ | Stick to Your Faith | https://storage.sekai.best/sekai-en-assets/character/member/res022_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no030/card_after_training.png
837 | 2024-12-20 | Coloring SEKAI | 2 | mysterious | Drawn To A Close | The Way I Played That Day | https://storage.sekai.best/sekai-en-assets/character/member/res022_no032/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no032/card_after_training.png
856 | 2025-01-23 | Lit By The Screen | 4 | happy | To Cheer Him On! | Backlight, Lens Flare | https://storage.sekai.best/sekai-en-assets/character/member/res022_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no034/card_after_training.png
925 | 2025-05-10 | Mystery Path Discovered?! | 2 | cute | Spot The Difference | To One Day Reach that Flowery Stage | https://storage.sekai.best/sekai-en-assets/character/member/res022_no035/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no035/card_after_training.png
945 | 2025-06-20 | First Thunder | 4 | pure | Me And My Big Mouth | A Light Drawn Closer | https://storage.sekai.best/sekai-en-assets/character/member/res022_no036/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no036/card_after_training.png
971 | 2025-07-31 | Adding My Message! | 3 | cute | Idols Are Great! | Chase My Ideal Idol! | https://storage.sekai.best/sekai-en-assets/character/member/res022_no037/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no037/card_after_training.png
1030 | 2025-11-10 | A Dreamy Mountain Of Grapes | 4 | mysterious | We Get To Pick Grapes In SEKAI?! | As the Leaves Change Once More | https://storage.sekai.best/sekai-en-assets/character/member/res022_no040/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no040/card_after_training.png
1099 | 2026-01-21 | Dressing Up Is Hard | 4 | cool | A Familiar Shade | Show Your Shine | https://storage.sekai.best/sekai-en-assets/character/member/res022_no043/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no043/card_after_training.png
1142 | 2026-03-20 | Unheard Voice | 3 | happy | Sympathetic SEKAI | Unreliable Notes | https://storage.sekai.best/sekai-en-assets/character/member/res022_no045/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no045/card_after_training.png
1150 | 2026-03-30 | A Reassuring Spell | 2 | mysterious | Everybody Having Fun?! | Find the Dream View | https://storage.sekai.best/sekai-en-assets/character/member/res022_no046/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no046/card_after_training.png
1203 | 2026-07-15 | Bringing The Fun And Games♪ | 4 | cute | Party Planning! | Unsteady, Still Steady Step | https://storage.sekai.best/sekai-en-assets/character/member/res022_no047/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res022_no047/card_after_training.png
